渓流名,場所,区域,面積(ha),告示年月日・告示番号
唐滝川,八丈町樫立,・河口から上流水源地に至る河川敷全部 ,11.6,(1)昭和25年6月1日   第 392号(2)昭和29年10月9日  第1451号
三原川,八丈町中之郷,・河口から上流水源地に至る河川敷全部 ・現地標柱(3)1～33号を結んだ線に囲まれた区域 ・現地標柱(4)1～73号を結んだ線に囲まれた区域 ,16.48,(1)昭和25年6月1日   第 392号 (2)昭和29年10月9日 第1451号  (3)平成7年2月22日   第 273号 (4)平成9年6月6日    第1285号 (5)平成15年3月14日 第 218号
鴨川,八丈町三根,・旧川側：河口から上流水源地に至る河川敷全部 ・分水路側：現地標柱1～77号を結んだ線に囲まれた区域 ,25.98,(1)昭和26年6月28日  第 651号 (2)昭和26年10月9日  第1451号 (3)昭和59年2月17日  第 158号
名古川,八丈町末吉,・河口から上流水源地に至る河川敷全部 ,3.0,(1)昭和26年6月28日  第 651号 (2)昭和29年10月9日  第1451号
長の入沢,八丈町三根,・現地標柱(1)1～14号 ・現地標柱(2)1～22号を結んだ線に囲まれた区域 ,0.43,(1)昭和61年3月17日  第 663号 (2)昭和63年3月18日  第 799号
赤見沢,八丈町三根,・現地標柱(1)1～9号 ・現地標柱(2)1～28号 ・現地標柱(3)1～24号を結んだ線に囲まれた区域,1.26,(1)平成元年3月7日   第 543号 (2)平成2年3月9日    第 484号 (3)平成5年3月25日  第938号
角尻川,八丈町末吉,・現地標柱(1)1～34号 ・現地標柱(2)1～18号 ・現地標柱(3)1～30号を結んだ線に囲まれた区域 ・(4)八丈町末吉2296番2ほか ,18.03,(1)平成3年3月15日   第 581号 (2)平成7年2月22日   第 273号(3)平成9年6月6日    第1285号 (4)平成9年12月22日 第2193号
小骨ヶ洞,八丈町中之郷,・八丈町中之郷2767番1ほか ,3.56,(1)平成13年3月16日  第 229号 (2)平成16年1月28日 第 37号  (3)平成21年1月9日  第 27号 (4)平成23年1月26日 第 61号
