校種,年齢,身長／全国(cm),身長／都(cm),身長／八丈(cm),体重／全国(kg),体重／都(kg),体重／八丈(kg),座高／全国(cm),座高／都(cm),座高／八丈(cm)
小学校,6,115.5,115.4,115.5,20.8,20.7,20.3,64.4,64.2,64.6
小学校,7,121.5,121.7,121.8,23.4,23.1,23.6,67.2,67.2,66.9
小学校,8,127.3,127.6,128.3,26.4,26.2,27.5,69.9,70.0,69.7
小学校,9,133.4,133.6,132.9,29.7,29.5,31.6,72.7,72.8,72.6
小学校,10,140.1,140.6,138.2,33.9,33.7,33.4,75.8,75.8,74.6
小学校,11,146.7,147.1,151.6,38.8,38.6,40.6,79.2,79.4,79.7
中学校,12,151.8,152.0,155.6,43.6,43.3,50.9,82.1,82.1,85.0
中学校,13,154.9,155.2,156.5,47.3,47.2,48.3,83.9,83.8,85.1
中学校,14,156.5,157.3,158.0,49.9,49.9,58.2,84.9,85.0,87.2
