名称,路線名,場所,橋長等(m),有効幅員(m),橋面積等(m2),橋種等,完了年次,耐荷荷重(t)
共栄橋,都道215号,大賀郷,4.06,6.70,30.00,コンクリート橋,昭和45,20
小根橋,都道215号,大賀郷,4.00,7.15,31.00,コンクリート橋,昭和48,20
大坂トンネル,都道215号,大賀郷樫立境,163.00,6.50,内空高 7.00m,コンクリート逆巻工法,昭和43 平成2,-
横間橋,都道215号,大賀郷,165.05,8.00,1485.50,ＰＣ橋,昭和62,20
横間桟道橋,都道215号,大賀郷,57.02,8.51,532.00,ＰＣ高架,昭和62,20
横間洞門,都道215号,大賀郷,115.00,9.20,内空高 4.85ｍ,ＰＣ桁ＲＣ構造,昭和63,-
堀立橋,都道215号,大賀郷,2.30,7.40,21.10,コンクリート橋,昭和46,20
逢坂橋,都道215号,大賀郷,491.00,8.50,4664.50,ＰＣ橋,平成5,20
明治橋,都道215号,三根,3.20,7.07,25.80,コンクリート橋,昭和45,20
供養橋,都道215号,三根,14.50,7.00,118.90,鋼橋,昭和55,20
第１長の入橋,都道215号,三根,4.40,7.00,34.30,コンクリート橋,昭和63,20
第２長の入橋,都道215号,三根,3.70,7.00,28.90,コンクリート橋,昭和57,20
大の川橋,都道215号,末吉,57.00,10.50,655.50,ＰＣ橋鋼橋,平成8,20
芦川橋,都道215号,末吉,58.00,11.00,707.00,ＰＣ橋,平成12,25
角尻橋,都道217号,末吉,12.20,10.92,147.86,ＰＣ橋,平成5,-
青宝トンネル,都道236号,青ヶ島村,505.00,4.00,内空高 4.00ｍ,ＮＡＴＭ工法,昭和60.3,-
平成流し坂トンネル,都道236号,青ヶ島村,237.00,4.00,内空高 4.55ｍ,ＮＡＴＭ工法,平成4,-
休戸橋,都道236号,青ヶ島村,39.50,5.00,244.90,コンクリート橋,平成10,20
