工作区分,平成23年度(件),平成24年度(件),平成25年度(件),平成26年度(件),平成27年度(件)
工作物の新増改築,31,33,41,27,33
木竹の伐採,0,1,2,1,0
鉱物採掘・土砂採取,0,1,0,2,3
広告物等の設置,2,2,1,0,0
土地の形状変更,1,2,1,0,2
物の集積・貯蔵,0,0,0,0,0
その他,1,6,0,2,2
合計,35,46,45,32,40
