,総面積(km2),田(km2),畑(km2),樹園地(km2),牧草地(km2),山林(km2),山林／うち国有林(km2),山林／うち民有林(km2),その他(km2)
八丈島,69.11,0.01,0.89,2.18,0.28,37.67,0.25,37.42,28.08
八丈小島,3.07,-,-,-,-,1.97,0,1.97,1.10
青ヶ島,5.96,-,0.03,0.01,0.10,5.09,1.48,3.61,0.73
合計,78.14,0.01,0.92,2.19,0.38,44.73,1.73,43.00,29.91
