町村名,総数(戸),区分／販売農家／主業農家(戸),区分／販売農家／準主業農家(戸),区分／販売農家／副業的農家(戸),区分／自給的農家(戸),備考
八丈町,370,94,29,184,63,2015年農林業センサス
青ヶ島村,9,3,-,3,3,2015年農林業センサス
