町村名,区分／15～29才(人),区分／30～39才(人),区分／40～49才(人),区分／50～59才(人),区分／60～64才(人),区分／65～69才(人),区分／70才以上(人),計(人),備考
八丈町,9,14,15,55,53,91,189,426,2015年農林業センサス
青ヶ島村,-,-,1,1,2,-,2,6,2015年農林業センサス
