品目,移出(t)／25(年次) ,移出(t)／26(年次),移出(t)／27(年次),移入(t)／25 (年次),移入(t)／26(年次),移入(t)／27(年次),主な内容／移出,主な内容／移入
農水産品,3098,5882,5758,4834,2835,8954,野菜・果物・切り花・魚・その他,米・穀類・果物・その他農産品
林産品,4729,1287,2018,1534,1305,4109,植木･榊(その他原木),材木･建築資材(その他木材・資材)
鉱産品,2,0,1,91891,78174,71234,石材,砂利･砂･石材等(資材)
金属機械工業品,4423,3289,2051,18763,15518,11309,完成自動車,非金属･金属製品･自動車・他機械
化学工業品,866,871,883,35962,34898,27553,窯業品,セメント･重油･石油・化学肥料
軽工業品,572,646,341,7256,8747,2591,飲料・酒・製造食品,(その他食料工業品)
雑工業品,1254,852,968,3449,3250,3007,日用品,木製品(その他製造工業品)
特殊品,10945,15077,12168,22397,22219,20713,輸送用容器･金属くず・取合せ品,廃土砂・取合せ品
廃棄物,4414,4816,1864,0,0,330,,
分類不能のもの,0,19,45,6,19,972,分類不能のもの,
合計,30302,32739,26097,186091,166965,150772,,
