区分,植栽年度,施行個所,植栽面積(ha),樹種別内訳／スギ(ha),樹種別内訳／ヒノキ(ha),樹種別内訳／クロマツ(ha),備考
御成婚記念造林,35,末吉,13.0 ,9.0 ,4.0 ,-,
御成婚記念造林,36,末吉,4.0 ,3.3 ,-,0.7 ,
御成婚記念造林,37,末吉,5.0 ,4.0 ,1.0 ,-,
御成婚記念造林,38,末吉、樫立,7.0 ,5.6 ,1.4 ,-,
御成婚記念造林,39,末吉,3.0 ,2.5 ,0.5,-,
御成婚記念造林,40,末吉,5.0 ,4.3 ,0.7 ,-,
御成婚記念造林,41,末吉、中之郷,2.0 ,1.8 ,0.2 ,-,
御成婚記念造林,42,末吉,1.0 ,0.8 ,0.2 ,-,
御成婚記念造林,計,,40.0 ,31.3 ,8.0 ,0.7 ,
御成婚記念造林,,,,,,,収益分収の割合　都 57％　町 43％
オリンピック記念造林,40,三根、末吉、樫立、中之郷,10.0 ,9.7 ,0.3 ,-,
オリンピック記念造林,41,三根、末吉、樫立,10.0 ,7.5 ,2.5 ,-,
オリンピック記念造林,42,樫立,5.0 ,3.5 ,1.5 ,-,
オリンピック記念造林,43,中之郷,5.0 ,4.5 ,0.5 ,-,
オリンピック記念造林,44,三根,3.0 ,2.5 ,0.5 ,-,
オリンピック記念造林,計,,33.0 ,27.7 ,5.3 ,-,
オリンピック記念造林,,,,,,,収益分収の割合　都 55％ 町 45％
合計,,,73.0 ,59.0 ,13.3 ,0.7,
