,町村別,八丈町(kg),青ヶ島村(kg),合計(kg)
港湾漁港工事,知事,-,500,500
港湾漁港工事,支庁長,-,-,-
道路工事,知事,-,-,-
道路工事,支庁長,-,-,-
煙火,知事,153,40,193
煙火,支庁長,-,-,-
計,知事,153,540,693
計,支庁長,-,-,-
