,,野菜,果樹,稲・麦類,花き,その他（飼料作物等）,合計
面積(ha),八丈町,79.0 ,2.7 ,-,241.0 ,33.0 ,355.8 
面積(ha),青ヶ島村,10.6 ,0.2 ,-,4.9 ,2.0 ,17.8 
数量(t),八丈町,1229,16,-,53767千本・鉢,-,-
数量(t),青ヶ島村,73,0,-,1098千本,-,-
金額(百万円),八丈町,194,27,-,1548,8,1776
金額(百万円),青ヶ島村,20,0,-,7,0,28
