年次別(平成),八丈島／隻数(隻), 八丈島／総トン数 (t),青ヶ島／隻数(隻), 青ヶ島／総トン数 (t), 合計／隻数(隻), 合計／総トン数 (t)
23,819,1708643,247,66741,1066,1775384
24,757,1650430,247,70066,1004,1720496
25,557,1525164,269,67919,826,1593083
26,810,1920702,193,84599,1003,2005301
27,855,2113248,180,84049,1035,2197297
