区域,基準の適用部位・面積,色相,明度,彩度
都内全域（05-2～05-5の区域を除く）,外壁基本色,0YR～5.0Y,4以上8.5未満の場合,3以下
都内全域（05-2～05-5の区域を除く）,外壁基本色,0YR～5.0Y,8.5以上の場合,1.5以下
都内全域（05-2～05-5の区域を除く）,外壁基本色,その他,4以上,1以下
都内全域（05-2～05-5の区域を除く）,強調色,0R～4.9YR,──,4以下
都内全域（05-2～05-5の区域を除く）,強調色,5.0YR～5.0Y,──,6以下
都内全域（05-2～05-5の区域を除く）,強調色,その他,──,2以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,外壁基本色,0YR～5.0Y,4以上8.5未満の場合,3以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,外壁基本色,0YR～5.0Y,8.5以上の場合,1.5以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,外壁基本色,その他,4以上,1以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,強調色,0YR～5.0Y,──,3以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,強調色,その他,──,1以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,アクセント色,0R～4.9YR,──,4以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,アクセント色,5.0YR～5.0Y,──,6以下
・国会議事堂・迎賓館（赤坂離宮）・明治神宮聖徳記念絵画館・東京駅丸の内駅舎／保全対象建築物からおおむね4kmまでの範囲とする。,アクセント色,その他,──,2以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,外壁基本色,0YR～5.0Y,4以上8.5未満の場合,3以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,外壁基本色,0YR～5.0Y,8.5以上の場合,1.5以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,外壁基本色,その他,4以上,1以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,強調色,0YR～5.0Y,──,3以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,強調色,その他,──,1以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,アクセント色,0R～4.9YR,──,4以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,アクセント色,5.0YR～5.0Y,──,6以下
・文化財庭園等景観形成特別地区の範囲／周辺を景観形成特別地区として指定する庭園等の外周線からおおむね1kｍの範囲とする。,アクセント色,その他,──,2以下
水辺景観形成特別地区の区域,外壁基本色,0YR～5.0Y,6以上8.5未満の場合,3以下
水辺景観形成特別地区の区域,外壁基本色,0YR～5.0Y,8.5以上の場合,1.5以下
水辺景観形成特別地区の区域,外壁基本色,その他,6以上,1以下
水辺景観形成特別地区の区域,強調色,0YR～5.0Y,──,3以下
水辺景観形成特別地区の区域,強調色,その他,──,1以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,外壁基本色,0YR～5.0Y,4以上8.5未満の場合,3以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,外壁基本色,0YR～5.0Y,8.5以上の場合,1.5以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,外壁基本色,その他,4以上,1以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,強調色,0YR～5.0Y,──,3以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,強調色,その他,──,1以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,アクセント色,0R～4.9YR,──,4以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,アクセント色,5.0YR～5.0Y,──,6以下
特別史跡江戸城跡及び史跡江戸城外堀跡を含み、一体的に首都としてのての風格ある景観形成を図る区域,アクセント色,その他,──,2以下
