行為,基準の適用部位・面積,ゾーン,色相,明度,彩度,
建築物の建築等,外壁基本色,港隣接,5.0YR～5.0Y,7以上,2以下,
建築物の建築等,外壁基本色,港隣接,その他,7以上,1以下,
建築物の建築等,外壁基本色,山沿い,5.0YR～5.0Y,5以上8以下,3以下,
建築物の建築等,外壁基本色,山沿い,その他,5以上8以下,1以下,
建築物の建築等,外壁基本色（推奨色）,港隣接,10YR～5.0Y,8以上,1以下,
建築物の建築等,外壁基本色（推奨色）,山沿い,5.0YR～5.0Y,5以上8以下,2以下,
建築物の建築等,屋根色,,5.0YR～5.0Y,6以下,4以下,
建築物の建築等,屋根色,,その他,6以下,2以下,
建築物の建築等,屋根色（推奨色）,,5.0YR～5.0Y,3.5以上6以下,2以下,
工作物の建設等,基本色,,5.0YR～5.0Y,2以上8.5以下,2以下,

