区域名称,区域の範囲,届出行為,届出規模
臨海景観基本軸,海域及び海と一体となって景観をつくり出している陸域とする。なお、内陸の沿岸部については、海上や対岸からの見え方、近接する隅田川景観基本軸との関係などを検討し、水際から50mの陸域及び葛西沖開発土地区画整理事業によって埋め立てられた陸域とする。,建築物の建築等（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ15m又は延べ面積3000m2以上
臨海景観基本軸,海域及び海と一体となって景観をつくり出している陸域とする。なお、内陸の沿岸部については、海上や対岸からの見え方、近接する隅田川景観基本軸との関係などを検討し、水際から50mの陸域及び葛西沖開発土地区画整理事業によって埋め立てられた陸域とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ15m又は築造面積3000m2以上
隅田川景観基本軸,隅田川の区域及び隅田川の両側からそれぞれ50mの陸上の区域を合わせた部分とする。,建築物の建築等（新築・増築・改築・移転・外観の変更（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ15m又は延べ面積1000m2以上
隅田川景観基本軸,隅田川の区域及び隅田川の両側からそれぞれ50mの陸上の区域を合わせた部分とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ15m又は築造面積1000m2以上
神田川景観基本軸,神田川の区域及び神田川の両側からそれぞれ30mの陸上の区域を合わせた部分及び日本橋川とする。,建築物の建築等（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ15m又は延べ面積1000m2以上
神田川景観基本軸,神田川の区域及び神田川の両側からそれぞれ30mの陸上の区域を合わせた部分及び日本橋川とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ15m又は築造面積1000m2以上
玉川上水景観基本軸,玉川上水の中心から両側それぞれ100mの区域とする。,建築物の建築等（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ10m以上
玉川上水景観基本軸,玉川上水の中心から両側それぞれ100mの区域とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ10m以上
国分寺崖線景観基本軸,国分寺崖線及び国分寺崖線と一体となって景観をつくり出している地域で、国分寺崖線の低地側においては、崖線と低地との境界部からおおむね360mまでの範囲、台地側においては、崖線と台地との境界部からおおむね80mまでの範囲とする。,建築物の建築等（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ10m又は延べ面積1000m2以上
国分寺崖線景観基本軸,国分寺崖線及び国分寺崖線と一体となって景観をつくり出している地域で、国分寺崖線の低地側においては、崖線と低地との境界部からおおむね360mまでの範囲、台地側においては、崖線と台地との境界部からおおむね80mまでの範囲とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ10m又は築造面積1000m2以上
丘陵地景観基本軸,丘陵地の山裾からおおむね500mまでの区域とする。,建築物の建築等（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ10m以上
丘陵地景観基本軸,丘陵地の山裾からおおむね500mまでの区域とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ10m以上
文化財庭園等景観形成特別地区,景観形成特別地区に指定された文化財庭園等の外周線からおおむね100mから300mの範囲とする。,建築物の建築等（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ20m以上
文化財庭園等景観形成特別地区,景観形成特別地区に指定された文化財庭園等の外周線からおおむね100mから300mの範囲とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,高さ20m以上
水辺景観形成特別地区,観光スポットや運河ルネッサンス推進地区を結ぶ水上バスの主要ルート、都市再生緊急整備地域の指定を受け土地利用転換が進められている東京臨海地域などを含み、水辺の魅力を世界に発信していく上で、特に重要な区域とする。,建築物の建築等（新築・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,水域に面するもので高さ15m以上（臨海景観基本軸の区域は、高さ15m又は延べ面積3000m2以上）（隅田川景観基本軸の区域は、高さ15m又は延べ面積1000m2以上）
水辺景観形成特別地区,観光スポットや運河ルネッサンス推進地区を結ぶ水上バスの主要ルート、都市再生緊急整備地域の指定を受け土地利用転換が進められている東京臨海地域などを含み、水辺の魅力を世界に発信していく上で、特に重要な区域とする。,工作物の建設等（新設・増築・改築・移転・外観の変更［修繕・模様替・色彩変更］）,水域に面するもので高さ15m以上（臨海景観基本軸の区域は、高さ15m又は築造面積3000m2以上）（隅田川景観基本軸の区域は、高さ15m又は築造面積1000m2以上）
