対象地域,区分,届出対象行為と規模
文化財庭園等景観形成特別地区,広告物の色彩,建物の壁面のうち、高さ20m以上の部分を利用する自家用広告物の色彩は、庭園景観と調和した低彩度色を基本とし、一つの広告物の中で、その表示面積の1/3を超えて使用できる色彩を次頁のとおり定める。
文化財庭園等景観形成特別地区,表示等の制限の例外,建物の背後にある広告物など、庭園内から見えない広告物については、本表に定める表示等の制限に関わらず、表示できる。
水辺景観形成特別地区,広告物の色彩,建物の壁面のうち、高さ10m以上の部分を利用する自家用広告物の色彩は、水辺景観と調和した低彩度色を基本とし、一つの広告物の中で、その表示面積の1/3を超えて使用できる色彩を次頁のとおり定める。
水辺景観形成特別地区,表示等の制限の例外,屋外広告物条例に基づき許可を受けずに表示できる広告物には、本表に定める表示等の制限は適用しない。この基準に適合しない広告物であっても、特にデザインが優れ水辺景観の形成に寄与するものについては、この基準によらないことができる。
