対象部位,色相,彩度
屋外広告物の色彩,0.1R～10R,5以下
屋外広告物の色彩,0.1YR～5Y,6以下
屋外広告物の色彩,5.1Y～10G,4以下
屋外広告物の色彩,0.1BG～10B,3以下
屋外広告物の色彩,0.1PB～10RP,4以下
