近似色,基本名称,標準マンセル値,設置場所の地域特性（例）
こげ茶色,ダークブラウン（こげ茶色）,10YR2.0/1.0程度,オフィス街、繁華街、歴史的街並み、田園、牧草地、海岸部
薄灰茶色,グレーベージュ（薄灰茶色）,10YR6.0/1.0程度,オフィス街、繁華街、田園、牧草地、海岸部
濃灰色,ダークグレー（濃灰色）,10YR3.0/0.2程度,オフィス街、繁華街、歴史的街並み
