事業の種別,立地,配慮を要する主な景観要素／中景・遠景（景観の骨格）／水辺／海,配慮を要する主な景観要素／中景・遠景（景観の骨格）／水辺／河川,配慮を要する主な景観要素／中景・遠景（景観の骨格）／歴史的資源・風致,配慮を要する主な景観要素／中景・遠景（景観の骨格）／緑,配慮を要する主な景観要素／近景（景観の蓄積）／周辺の街並み
大規模建築物等,眺望4建築周辺,,,◎,○,◎
大規模建築物等,文化財庭園等の周辺から1kmの範囲,,,◎,◎,◎
大規模建築物等,水辺景観形成特別地区,◎,○,,○,◎
大規模建築物等,皇居周辺の景観誘導区域,,,◎,◎,◎
大規模建築物等,その他の区域,,,,○,◎
景観形成特別地区,文化財庭園等景観形成特別地区,,,◎,◎,◎
景観形成特別地区,水辺景観形成特別地区,◎,,,○,◎
景観形成特別地区,小笠原（父島二見港周辺）,◎,,,◎,◎
景観基本軸,臨海,◎,○,,○,◎
景観基本軸,河川系（隅田川、神田川）,,◎,○,◎,◎
景観基本軸,緑地系（玉川上水、国分寺崖線、丘陵地）,,,○,◎,◎
一般区域,東京湾ウォータフロント活性化ゾーン,◎,,○,○,◎
一般区域,センター・コア再生ゾーン,,,,○,◎
一般区域,都市環境再生ゾーン,,,,○,◎
一般区域,核都市広域連携ゾーン,,,,○,◎
一般区域,自然環境保全・活用ゾーン,,,,◎,◎
