区分,基準の適用部位・面積,色相,明度,彩度
臨海景観基本軸,外壁基本色,0R～4.9YR,6以上8.5未満の場合,4以下
臨海景観基本軸,外壁基本色,0R～4.9YR,8.5以上の場合,1.5以下
臨海景観基本軸,外壁基本色,5.0YR～5.0Y,6以上8.5未満の場合,4以下
臨海景観基本軸,外壁基本色,5.0YR～5.0Y,8.5以上の場合,2以下
臨海景観基本軸,外壁基本色,その他,6以上8.5未満の場合,2以下
臨海景観基本軸,外壁基本色,その他,8.5以上の場合,1以下
臨海景観基本軸,屋根色,5.0YR～5.0Y,──,4以下
臨海景観基本軸,屋根色,その他,──,2以下
河川系景観基本軸,外壁基本色,0R～4.9YR,4以上8.5未満の場合,4以下
河川系景観基本軸,外壁基本色,0R～4.9YR,8.5以上の場合,1.5以下
河川系景観基本軸,外壁基本色,5.0YR～5.0Y,4以上8.5未満の場合,4以下
河川系景観基本軸,外壁基本色,5.0YR～5.0Y,8.5以上の場合,2以下
河川系景観基本軸,外壁基本色,その他,4以上8.5未満の場合,1以下
河川系景観基本軸,外壁基本色,その他,8.5以上の場合,1以下
河川系景観基本軸,屋根色,5.0YR～5.0Y,6以下,4以下
河川系景観基本軸,屋根色,その他,6以下,2以下
緑地系景観基本軸,外壁基本色,0R～5.0Y,4以上8.5未満,4以下
緑地系景観基本軸,外壁基本色,その他,4以上8.5未満,1以下
緑地系景観基本軸,屋根色,5.0YR～5.0Y,6以下,4以下
緑地系景観基本軸,屋根色,その他,6以下,2以下
文化財庭園等景観形成特別地区,外壁基本色,0R～4.9YR,4以上8.5未満の場合,4以下
文化財庭園等景観形成特別地区,外壁基本色,0R～4.9YR,8.5以上の場合,1.5以下
文化財庭園等景観形成特別地区,外壁基本色,5.0YR～5.0Y,4以上8.5未満の場合,6以下
文化財庭園等景観形成特別地区,外壁基本色,5.0YR～5.0Y,8.5以上の場合,2以下
文化財庭園等景観形成特別地区,外壁基本色,その他,4以上8.5未満の場合,2以下
文化財庭園等景観形成特別地区,外壁基本色,その他,8.5以上の場合,1以下
文化財庭園等景観形成特別地区,強調色,0R～4.9YR,──,6以下
文化財庭園等景観形成特別地区,強調色,5.0YR～5.0Y,──,4以下
文化財庭園等景観形成特別地区,強調色,その他,──,2以下
文化財庭園等景観形成特別地区,屋根色（勾配屋根）,5.0YR～5.0Y,6以下,4以下
文化財庭園等景観形成特別地区,屋根色（勾配屋根）,その他,6以下,2以下
水辺景観形成特別地区,外壁基本色,0R～4.9YR,6以上8.5未満の場合,4以下
水辺景観形成特別地区,外壁基本色,0R～4.9YR,8.5以上の場合,1.5以下
水辺景観形成特別地区,外壁基本色,5.0YR～5.0Y,6以上8.5未満の場合,4以下
水辺景観形成特別地区,外壁基本色,5.0YR～5.0Y,8.5以上の場合,2以下
水辺景観形成特別地区,外壁基本色,その他,6以上8.5未満の場合,2以下
水辺景観形成特別地区,外壁基本色,その他,8.5以上の場合,1以下
水辺景観形成特別地区,強調色,0R～4.9YR,──,4以下
水辺景観形成特別地区,強調色,5.0YR～5.0Y,──,6以下
水辺景観形成特別地区,強調色,その他,──,2以下
水辺景観形成特別地区,屋根色（勾配屋根）,5.0YR～5.0Y,──,4以下
水辺景観形成特別地区,屋根色（勾配屋根）,その他,──,2以下
一般地域,外壁基本色,0R～4.9YR,4以上8.5未満の場合,4以下
一般地域,外壁基本色,0R～4.9YR,8.5以上の場合,1.5以下
一般地域,外壁基本色,5.0YR～5.0Y,4以上8.5未満の場合,6以下
一般地域,外壁基本色,5.0YR～5.0Y,8.5以上の場合,2以下
一般地域,外壁基本色,その他,4以上8.5未満の場合,2以下
一般地域,外壁基本色,その他,8.5以上の場合,1以下
一般地域,強調色,0R～4.9YR,──,4以下
一般地域,強調色,5.0YR～5.0Y,──,6以下
一般地域,強調色,その他,──,2以下
