"年度[西暦]","生活一般[件]","児童[件]","経済的支援・生活援護[件]","その他[件]","合計[件]"
"2018","558","130","429","3707","4824"
"2019","448","93","342","3530","4413"
"2020","306","11","202","1319","1838"
"2021","243","15","240","3","501"
"2022","246","14","151","2","413"

"令和5年度港区行政資料集　母子・父子福祉相談状況","Ver202303",,,,
