項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,65歳未満（円）,65歳以上（円）,(再掲）75歳以上（円）,
0,0,0,0,0,0,0,世帯数分布,10000,-,671,9329,5253,
0,0,0,0,0,0,0,調査世帯数,245,-,16,229,130,
0,0,0,0,0,0,0,世帯人員,2.37,-,2.55,2.36,2.31,
0,0,0,0,0,0,0,有業人員,0.48,-,0.58,0.47,0.38,
0,0,0,0,0,0,0,世帯主平均年齢,74.6,-,57.1,75.9,80.8,
1,0,0,0,0,0,0,受取,625616,12.5,576401,629711,592850,
1,1,0,0,0,0,0,実収入,204028,22,144564,208509,206035,
1,2,0,0,0,0,0,経常収入,197084,20.7,137038,201586,198700,
1,3,0,0,0,0,0,勤め先収入,19715,76.9,26157,19229,14598,
1,4,0,0,0,0,0,世帯主収入,-,-,-,-,-,
1,6,0,0,0,0,0,うち男,-,-,-,-,-,
1,5,0,0,0,0,0,定期収入,-,-,-,-,-,
1,5,0,0,0,0,0,臨時収入,-,-,-,-,-,
1,5,0,0,0,0,0,賞与,-,-,-,-,-,
1,4,0,0,0,0,0,世帯主の配偶者の収入,6824,65.2,17342,6029,3498,
1,6,0,0,0,0,0,うち女,6439,55.9,11982,6029,3498,
1,4,0,0,0,0,0,他の世帯員収入,12891,83.8,8815,13199,11099,
1,3,0,0,0,0,0,事業・内職収入,4802,-40.9,2363,5017,5619,
1,4,0,0,0,0,0,家賃収入,1921,-48.9,1078,2009,2559,
1,4,0,0,0,0,0,他の事業収入,787,-52.3,-,844,1417,
1,4,0,0,0,0,0,内職収入,2094,-22.8,1285,2164,1642,
1,3,0,0,0,0,0,他の経常収入,172567,19.8,108517,177341,178483,
1,4,0,0,0,0,0,財産収入,4067,107.7,5534,3971,3031,
1,4,0,0,0,0,0,社会保障給付,166602,18,90520,172113,173914,
1,5,0,0,0,0,0,公的年金給付,164856,18.2,76776,171275,173536,
1,5,0,0,0,0,0,他の社会保障給付,1746,5.2,13744,839,378,
1,4,0,0,0,0,0,仕送り金,1899,99.5,12463,1257,1538,
1,2,0,0,0,0,0,特別収入,6944,75.2,7527,6923,7335,
1,3,0,0,0,0,0,受贈金,1934,29.7,1203,1995,2130,
1,3,0,0,0,0,0,他の特別収入,5010,102.6,6324,4928,5205,
1,1,0,0,0,0,0,実収入以外の受取(繰入金を除く),337641,10.2,360110,336375,301836,
