項目,階層,大分類,中分類,小分類,中間計,符号,項目名,頻度（回）,金額（円）,１回当たりの金額（円）,,
0,0,0,0,0,0,0,調査世帯数,717,-,-,,
0,0,0,0,0,0,0,世帯人員,2.92,-,-,,
0,0,0,0,0,0,0,有業人員,1.34,-,-,,
0,0,0,0,0,0,0,世帯主平均年齢,59.7,-,-,,
2,2,0,0,0,0,0,生計支出,-,-,-,,
2,3,0,0,0,0,0,消費支出,-,-,-,,
2,4,1,0,0,0,0,食料,-,-,-,,
2,5,1,1,0,0,0,穀類,-,-,-,,
2,6,1,1,1,0,0,米類,-,-,-,,
2,7,1,1,1,0,102,米,627,1406397,2243,,
2,6,1,1,2,0,0,パン,-,-,-,,
2,7,1,1,2,0,120,食パン,3271,616428,188,,
2,7,1,1,2,0,129,他のパン,5975,1452441,243,,
2,6,1,1,3,0,0,麺類,-,-,-,,
2,7,1,1,3,0,130,生うどん・そば,922,184747,200,,
2,7,1,1,3,0,131,乾うどん・そば,242,139181,575,,
2,7,1,1,3,0,134,スパゲッティ,343,85042,248,,
2,7,1,1,3,0,133,中華麺,1119,252746,226,,
2,7,1,1,3,0,135,カップ麺,1010,208401,206,,
2,7,1,1,3,0,132,即席麺,297,92596,312,,
2,7,1,1,3,0,139,他の麺類,282,59324,210,,
2,6,1,1,4,0,0,他の穀類,-,-,-,,
2,7,1,1,4,0,140,小麦粉,131,31038,237,,
2,7,1,1,4,0,150,もち,171,114791,671,,
2,7,1,1,4,0,160,他の穀類のその他,575,210072,365,,
2,5,1,2,0,0,0,魚介類,-,-,-,,
2,6,1,2,1,0,0,生鮮魚介,-,-,-,,
2,7,1,2,1,170-189,0,鮮魚,-,-,-,,
2,7,1,2,1,170-189,170,まぐろ,702,467715,666,,
2,7,1,2,1,170-189,172,あじ,189,71888,380,,
2,7,1,2,1,170-189,173,いわし,108,35586,330,,
2,7,1,2,1,170-189,174,かつお,195,81698,419,,
2,7,1,2,1,170-189,175,かれい,83,40371,486,,
2,7,1,2,1,170-189,176,さけ,661,305998,463,,
2,7,1,2,1,170-189,177,さば,136,47860,352,,
2,7,1,2,1,170-189,178,さんま,201,69160,344,,
2,7,1,2,1,170-189,180,たい,74,48896,661,,
2,7,1,2,1,170-189,181,ぶり,351,166169,473,,
2,7,1,2,1,170-189,182,いか,245,91978,375,,
2,7,1,2,1,170-189,183,たこ,177,78972,446,,
2,7,1,2,1,170-189,185,えび,294,160664,546,,
2,7,1,2,1,170-189,186,かに,25,69912,2796,,
2,7,1,2,1,170-189,189,他の鮮魚,667,411559,617,,
2,7,1,2,1,170-189,187,さしみ盛合わせ,296,285915,966,,
2,7,1,2,1,190-194,0,貝類,-,-,-,,
2,7,1,2,1,190-194,190,あさり,190,52621,277,,
2,7,1,2,1,190-194,192,しじみ,83,27468,331,,
2,7,1,2,1,190-194,191,かき(貝),118,60856,516,,
2,7,1,2,1,190-194,194,ほたて貝,120,60039,500,,
2,7,1,2,1,190-194,193,他の貝,48,23115,482,,
2,6,1,2,2,0,0,塩干魚介,-,-,-,,
2,7,1,2,2,0,195,塩さけ,254,116222,458,,
2,7,1,2,2,0,196,たらこ,299,129590,433,,
2,7,1,2,2,0,197,しらす干し,387,118069,305,,
2,7,1,2,2,0,198,干しあじ,156,63961,410,,
2,7,1,2,2,0,202,他の塩干魚介,913,418734,459,,
2,6,1,2,3,0,0,魚肉練製品,-,-,-,,
2,7,1,2,3,0,203,揚げかまぼこ,514,119386,232,,
2,7,1,2,3,0,204,ちくわ,557,79504,143,,
2,7,1,2,3,0,205,かまぼこ,663,173154,261,,
2,7,1,2,3,0,209,他の魚肉練製品,415,97176,234,,
2,6,1,2,4,0,0,他の魚介加工品,-,-,-,,
2,7,1,2,4,0,210,かつお節・削り節,163,53161,326,,
2,7,1,2,4,0,213,魚介の漬物,390,226379,580,,
2,7,1,2,4,0,215,魚介のつくだ煮,134,69592,519,,
2,7,1,2,4,0,216,魚介の缶詰,521,185938,357,,
2,7,1,2,4,0,217,他の魚介加工品のその他,460,184103,400,,
2,5,1,3,0,0,0,肉類,-,-,-,,
2,6,1,3,1,0,0,生鮮肉,-,-,-,,
2,7,1,3,1,0,220,牛肉,1243,1344247,1081,,
2,7,1,3,1,0,221,豚肉,3981,1971462,495,,
2,7,1,3,1,0,222,鶏肉,2222,986749,444,,
2,7,1,3,1,0,22X,合いびき肉,310,151367,488,,
2,7,1,3,1,0,224,他の生鮮肉,269,124055,461,,
2,6,1,3,2,0,0,加工肉,-,-,-,,
2,7,1,3,2,0,225,ハム,963,353117,367,,
2,7,1,3,2,0,226,ソーセージ,1181,420986,356,,
2,7,1,3,2,0,227,ベーコン,557,176536,317,,
2,7,1,3,2,0,229,他の加工肉,286,149135,521,,
2,5,1,4,0,0,0,乳卵類,-,-,-,,
2,6,1,4,1,0,230,牛乳,3375,933731,277,,
2,6,1,4,2,0,0,乳製品,-,-,-,,
2,7,1,4,2,0,231,粉ミルク,22,34689,1577,,
2,7,1,4,2,0,232,ヨーグルト,3366,868124,258,,
2,7,1,4,2,0,233,バター,210,86875,414,,
2,7,1,4,2,0,234,チーズ,1462,460433,315,,
2,7,1,4,2,0,235,他の乳製品,125,37649,301,,
2,6,1,4,3,0,238,卵,2630,556600,212,,
2,5,1,5,0,0,0,野菜・海藻,-,-,-,,
2,6,1,5,1,0,0,生鮮野菜,-,-,-,,
2,7,1,5,1,240-249,0,葉茎菜,-,-,-,,
2,7,1,5,1,240-249,240,キャベツ,1308,201922,154,,
2,7,1,5,1,240-249,241,ほうれんそう,864,156270,181,,
2,7,1,5,1,240-249,242,はくさい,578,91003,157,,
2,7,1,5,1,240-249,243,ねぎ,1346,234895,175,,
2,7,1,5,1,240-249,244,レタス,1315,200201,152,,
2,7,1,5,1,240-249,247,ブロッコリー,915,186115,203,,
2,7,1,5,1,240-249,245,もやし,1604,66475,41,,
2,7,1,5,1,240-249,249,他の葉茎菜,3539,569706,161,,
2,7,1,5,1,250-259 25X,0,根菜,-,-,-,,
2,7,1,5,1,250-259 25X,250,さつまいも,252,60550,240,,
2,7,1,5,1,250-259 25X,251,じゃがいも,855,157566,184,,
2,7,1,5,1,250-259 25X,252,さといも,193,54679,283,,
2,7,1,5,1,250-259 25X,253,だいこん,942,137244,146,,
2,7,1,5,1,250-259 25X,254,にんじん,1086,167593,154,,
2,7,1,5,1,250-259 25X,255,ごぼう,386,69445,180,,
2,7,1,5,1,250-259 25X,256,たまねぎ,1260,220468,175,,
2,7,1,5,1,250-259 25X,258,れんこん,316,77762,246,,
2,7,1,5,1,250-259 25X,25X,たけのこ,170,61752,363,,
2,7,1,5,1,250-259 25X,259,他の根菜,1142,247013,216,,
2,7,1,5,1,260-269 26B 26X,0,他の野菜,-,-,-,,
2,7,1,5,1,260-269 26B 26X,260,さやまめ,724,195932,271,,
2,7,1,5,1,260-269 26B 26X,261,かぼちゃ,641,124791,195,,
2,7,1,5,1,260-269 26B 26X,262,きゅうり,1652,263765,160,,
2,7,1,5,1,260-269 26B 26X,263,なす,779,156927,201,,
2,7,1,5,1,260-269 26B 26X,264,トマト,2234,649278,291,,
2,7,1,5,1,260-269 26B 26X,265,ピーマン,1148,175721,153,,
2,7,1,5,1,260-269 26B 26X,266,生しいたけ,621,123256,198,,
2,7,1,5,1,260-269 26B 26X,26B,しめじ,903,108305,120,,
2,7,1,5,1,260-269 26B 26X,26X,えのきたけ,687,70287,102,,
2,7,1,5,1,260-269 26B 26X,267,他のきのこ,1203,174018,145,,
2,7,1,5,1,260-269 26B 26X,269,他の野菜のその他,1279,340741,266,,
2,6,1,5,2,0,0,乾物・海藻,-,-,-,,
2,7,1,5,2,0,273,豆類,63,31548,501,,
2,7,1,5,2,0,274,干ししいたけ,37,25566,691,,
2,7,1,5,2,0,276,干しのり,362,196332,542,,
2,7,1,5,2,0,277,わかめ,427,110609,259,,
2,7,1,5,2,0,278,こんぶ,160,53918,337,,
2,7,1,5,2,0,279,他の乾物・海藻,869,197458,227,,
2,6,1,5,3,0,0,大豆加工品,-,-,-,,
2,7,1,5,3,0,280,豆腐,2599,335011,129,,
2,7,1,5,3,0,281,油揚げ・がんもどき,1337,185423,139,,
2,7,1,5,3,0,282,納豆,2137,267129,125,,
2,7,1,5,3,0,289,他の大豆製品,235,53633,228,,
2,6,1,5,4,0,0,他の野菜・海藻加工品,-,-,-,,
2,7,1,5,4,0,290,こんにゃく,797,108909,137,,
2,7,1,5,4,0,291,梅干し,168,114144,679,,
2,7,1,5,4,0,292,だいこん漬,244,62033,254,,
2,7,1,5,4,0,293,はくさい漬,161,35869,223,,
2,7,1,5,4,0,294,他の野菜の漬物,1411,379617,269,,
2,7,1,5,4,0,295,こんぶつくだ煮,248,71111,287,,
2,7,1,5,4,0,296,他の野菜・海藻のつくだ煮,60,20821,347,,
2,7,1,5,4,0,299,他の野菜・海藻加工品のその他,588,141090,240,,
2,5,1,6,0,0,0,果物,-,-,-,,
2,6,1,6,1,0,0,生鮮果物,-,-,-,,
2,7,1,6,1,0,300,りんご,680,278646,410,,
2,7,1,6,1,0,301,みかん,539,303851,564,,
2,7,1,6,1,0,314,グレープフルーツ,85,23005,271,,
2,7,1,6,1,0,315,オレンジ,131,44762,342,,
2,7,1,6,1,0,304,他の柑きつ類,415,165549,399,,
2,7,1,6,1,0,305,梨,227,112020,493,,
2,7,1,6,1,0,306,ぶどう,280,190673,681,,
2,7,1,6,1,0,307,柿,224,77801,347,,
2,7,1,6,1,0,308,桃,106,84241,795,,
2,7,1,6,1,0,309,すいか,182,95045,522,,
2,7,1,6,1,0,310,メロン,86,61641,717,,
2,7,1,6,1,0,311,いちご,469,248910,531,,
2,7,1,6,1,0,312,バナナ,1629,266711,164,,
2,7,1,6,1,0,316,キウイフルーツ,427,144105,337,,
2,7,1,6,1,0,313,他の果物,902,375279,416,,
2,6,1,6,2,0,319,果物加工品,547,261458,478,,
2,5,1,7,0,0,0,油脂・調味料,-,-,-,,
2,6,1,7,1,0,0,油脂,-,-,-,,
2,7,1,7,1,0,320,食用油,501,249184,497,,
2,7,1,7,1,0,321,マーガリン,172,37192,216,,
2,6,1,7,2,0,0,調味料,-,-,-,,
2,7,1,7,2,0,322,食塩,105,25217,240,,
2,7,1,7,2,0,323,しょう油,283,88009,311,,
2,7,1,7,2,0,324,みそ,329,129055,392,,
2,7,1,7,2,0,325,砂糖,213,57212,269,,
2,7,1,7,2,0,327,酢,182,69851,384,,
2,7,1,7,2,0,328,ソース,178,40106,225,,
2,7,1,7,2,0,329,ケチャップ,196,39530,202,,
2,7,1,7,2,0,330,マヨネーズ・マヨネーズ風調味料,307,69466,226,,
2,7,1,7,2,0,332,ドレッシング,528,158517,300,,
