年・期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／就業率（％、ポイント）,男女計／完全失業率（％、ポイント）,男計／１５歳以上人口（千人）,男計／１５歳以上人口／労働力人口（千人）,男計／１５歳以上人口／労働力人口／就業者数（千人）,男計／１５歳以上人口／労働力人口／完全失業者数（千人）,男計／１５歳以上人口／非労働力人口（千人）,男計／労働力人口比率（％、ポイント）,男計／就業率（％、ポイント）,男計／完全失業率（％、ポイント）,女計／１５歳以上人口（千人）,女計／１５歳以上人口／労働力人口（千人）,女計／１５歳以上人口／労働力人口／就業者数（千人）,女計／１５歳以上人口／労働力人口／完全失業者数（千人）,女計／１５歳以上人口／非労働力人口（千人）,女計／労働力人口比率（％、ポイント）,女計／就業率（％、ポイント）,女計／完全失業率（％、ポイント）
実数／平成27年平均,11925,7675,7400,275,4245,64.4,62.1,3.6,5853,4401,4232,169,1449,75.2,72.3,3.8,6072,3274,3168,106,2796,53.9,52.2,3.2
実数／平成28年平均,12065,7768,7517,251,4292,64.4,62.3,3.2,5920,4429,4288,142,1489,74.8,72.4,3.2,6144,3338,3229,110,2804,54.3,52.6,3.3
実数／平成29年平均,12158,7908,7682,226,4244,65,63.2,2.9,5962,4466,4332,134,1494,74.9,72.7,3,6197,3442,3349,92,2750,55.5,54,2.7
実数／平成30年平均,12251,8133,7922,211,4110,66.4,64.7,2.6,6000,4542,4418,123,1456,75.7,73.6,2.7,6250,3591,3504,87,2654,57.5,56.1,2.4
実数／平成31年・令和元年平均,12343,8254,8061,193,4077,66.9,65.3,2.3,6040,4584,4470,113,1449,75.9,74,2.5,6303,3670,3590,80,2627,58.2,57,2.2
実数／令和２年平均,12409,8362,8104,258,4039,67.4,65.3,3.1,6067,4638,4485,153,1426,76.4,73.9,3.3,6342,3724,3619,105,2613,58.7,57.1,2.8
実数／令和３年平均,12476,8485,8231,255,3982,68,66,3,6089,4672,4513,159,1413,76.7,74.1,3.4,6387,3813,3718,96,2569,59.7,58.2,2.5
実数／平成29年１～３月平均,12110,7795,7560,235,4309,64.4,62.4,3,5942,4413,4279,133,1526,74.3,72,3,6168,3382,3281,101,2783,54.8,53.2,3
実数／平成29年４～６月平均,12159,7912,7686,226,4240,65.1,63.2,2.9,5962,4486,4353,134,1474,75.2,73,3,6198,3426,3333,93,2766,55.3,53.8,2.7
実数／平成29年７～９月平均,12175,7970,7757,213,4200,65.5,63.7,2.7,5969,4509,4384,125,1459,75.5,73.4,2.8,6206,3461,3373,88,2741,55.8,54.4,2.5
