,雑誌タイトル名,種別,所蔵自治体名,,
,Ｊトレイン（季刊）,テープ,,,
,,デイジー,西東京市,,
,TV　ＬＩＦＥ（隔週刊）,テープ,文京区,,
,,デイジー,,,
,"Voice
※平成31年4月号から作成",テープ,,,
,,デイジー,杉並区,,
ア行,アエラ（週刊）,テープ,,,
,,デイジー,八王子市,,
,浮巣(月刊）,テープ,大田区,,
,,デイジー,大田区,,
,エコノミスト(週刊）,テープ,,,
,,デイジー,練馬区,,
,大相撲中継,テープ,,,
,,デイジー,練馬区,,
,おそい・はやい・たかい・ひくい（隔月）,テープ,,,
,,デイジー,豊島区,,
カ行,角川俳句（月刊）,テープ,,,
,,デイジー,町田市,,
,きょうの健康（隔月）,テープ,文京区,,
,,デイジー,,,
,近代中小企業(月刊）,テープ,,,
,,デイジー,墨田区,,
,経済情報(月２回）,テープ,,,
,,デイジー,墨田区,,
,コラム読み比べ（朝日、毎日、日経、読売、産経）(月刊）,テープ,,,
,,デイジー,国立市,,
,今月の本棚（月刊）,テープ,,,
,,デイジー,豊島区,,
サ行,小説新潮（月刊）,テープ,,,
,,デイジー,世田谷区,,
,新潮(月刊）,テープ,,,
,,デイジー,豊島区,,
,ステラ(週刊）,テープ,大田区,,
,,デイジー,大田区,,
,総合リハビリテーション（隔月）,テープ,,,
,,デイジー,大田区,,
タ行,食べもの通信(月刊）,テープ,,,
,,デイジー,練馬区,,
,多摩のあゆみ(季刊）,テープ,,,
,,デイジー,都立多摩,,
,ダンスビュウ,テープ,,,
,,デイジー,練馬区,,
,鉄道ファン（月刊）,テープ,,,
,,デイジー,町田市,,
,東京人(月刊）,テープ,,,
,,デイジー,練馬区,,
,東京新聞（筆洗）,テープ,,,
,,デイジー,昭島市,,
,図書（月刊）,テープ,,,
,,デイジー,東村山市（富士見）,,
ナ行,日経トップリーダー(月刊）,テープ,,,
,,デイジー,墨田区,,
,日経ヘルス(月刊）,テープ,,,
,,デイジー,大田区,,
,ニュートン(月刊）,テープ,大田区,,
,,デイジー,大田区,,
ハ行,俳句雑誌「多房sanitize]v(月刊）,テープ,東大和市（音声CD版）,,
,,デイジー,東大和市,,
,"ハルメク（月刊）
※改題前誌いきいき（月刊）平成28年5月号より名称変更",テープ,江東区,,
,,デイジー,江東区,,
,フクミミ（月刊）,テープ,,,
,,デイジー,新宿区（戸山）,,
,文藝,テープ,,,
,,デイジー,杉並区,,
,ぽけっと(月刊）※発行　練馬区社会福祉協議会,テープ,練馬区,,
,,デイジー,,,
,本（月刊）,テープ,,,
,,デイジー,東村山,,
マ行,毎日新聞（書評）,テープ,,,
,,デイジー,あきる野市,,
,毎日新聞読書欄（月刊）,テープ,,,
,,デイジー,杉並区,,
,毎日新聞（抜粋コラム）,テープ,,,
,,デイジー,都立多摩,,
,町かど(月２回）,テープ,八王子市,,
,,デイジー,八王子市,,
ヤ行,横浜ラポールニュース（月刊）,テープ,町田市,,
,,デイジー,,,
ラ行,ランナーズ（週刊）,テープ,,,
,,デイジー,多摩市（永山）,,
