自治体名,ホームページ,館名,電話番号,郵便番号,所在地,開館時間,休館日1,休館日2,座席数,備考
東京都,https://www.library.metro.tokyo.lg.jp/,中央,03-3442-8451,106-8575,港区南麻布5-7-13,"10AM～9PM
(土･日曜日､祝日は～5:30PM)
ただし､特別文庫室は10AM～5:30PM","･第1木曜日
(祝休日または他の休館日にあたるときは第2木曜日)
･保守点検日(月1回)",,"916
(146)","個人貸出はしない
C･障資･障・ＣＤ・W◎・多T・乳・オ"
,,令和3年11月11日から令和4年1月6日まで、特別整理及び設備改修工事等のため休館予定,,,,,,,,
東京都,https://www.library.metro.tokyo.lg.jp/,多摩,042-359-4020,185-8520,国分寺市泉町2-2-26,"10AM～9PM
(土･日曜日､祝日は～5:30PM)","･第1木曜日
(祝休日または他の休館日にあたるときは第2木曜日)
･保守点検日(月1回)",,"227
(20)","個人貸出はしない
Ｃ・障資･障・Ｗ〇・多Ｔ・乳・オ"
,,令和3年11月11日から11月19日まで、特別整理のため休館予定,,,,,,,,
