自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数 , B　蔵書数図書総数(冊) , B　蔵書数図書総数内訳うち児童資料 , B　蔵書数図書総数内訳うち外国語資料 , B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）, B　蔵書数図書総数内訳うち閉架資料 , B　蔵書数雑誌（種） , B　蔵書数新聞（種） , B　蔵書数レコード（枚） , B　蔵書数カセット（巻） , B　蔵書数 ＣＤ（枚）  , B　蔵書数ＬＤ（枚） , B　蔵書数ビデオ（巻） , B　蔵書数DVD（枚） , B　蔵書数フィルム（巻） , B　蔵書数その他（点） , C　サービス・貸出・予約来館者数（人）       , C　サービス・貸出・予約個人貸出登録者登録者総数(人)       , C　サービス・貸出・予約個人貸出登録者内訳うち児童       , C　サービス・貸出・予約個人貸出登録者有効登録者数(人)         , C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数         , C　サービス・貸出・予約貸出冊数貸出総数(冊)       , C　サービス・貸出・予約貸出冊数貸出総数内訳うち自治体内貸出数      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち児童資料      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち視聴覚資料      , C　サービス・貸出・予約 団体貸出団体数       , C　サービス・貸出・予約団体貸出貸出冊数（冊）       , C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳２３区へ    , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳多摩地区へ, C　サービス・貸出・予約 他自治体への貸出貸出総数内訳他県その他へ     , C　サービス・貸出・予約予約受付予約受付総数（冊）      , C　サービス・貸出・予約予約受付予約受付総数予約内訳所蔵資料を提供（冊）    , C　サービス・貸出・予約予約受付予約受付総数予約内訳購入して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳都立から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳２３区から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳多摩地区から, C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳他県から        , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳国会   , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳大学等  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳不明  , C　サービス・貸出・予約予約受付予約受付総数予約内訳未提供等      ,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,"D　電子資料等の利用館外貸出
有：1
無：0","D　電子資料等の利用機器提供
有：1
無：0",H　 備考備考
東京都,"13,667,501","2,191.00",2,0,0,0,652,"2,587,717","233,595","295,827","243,654","1,202,565","25,641","1,372","4,048","1,138","1,713",643,"6,298","1,559","11,510",0,"511,388",未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,"73,821","11,355","61,732",734,73,0,0,71,0,0,0,23,48,0,0,2,"1,386,324",2,"74,686",2,2,2,0,2,
千代田区,"61,875",11.66,5,0,0,0,"1,688","556,556","51,655","6,707","23,212","201,725",893,87,0,"1,741","18,649",0,"1,026","1,821",0,392,"1,796,907","217,362",不明,"67,578","15,142","888,177","373,019","100,256","63,504",29,"2,126","1,554","1,451",88,15,"215,764",不明,不明,"3,716",493,"3,107",99,2,0,0,15,未取得,"219,339",2,"15,908",2,3,2,1,0,
中央区,"159,075",10.21,3,0,0,0,"1,007","608,986","107,822","1,883","72,997","324,868",660,46,0,289,"27,096",0,"1,835","1,152",429,140,"910,337","87,544","8,763","47,351","29,844","1,417,428","1,136,687","487,667","170,648",406,"19,310","2,644","2,513",127,4,"6,360",未取得,未取得,"6,360",192,"5,998",141,29,0,0,0,未取得,"108,989",3,未取得,0,3,3,0,0,
港区,"255,320",20.37,7,1,0,0,"2,381","1,062,161","208,412","29,890","40,376",不明,"1,438",101,0,642,"54,400","1,241","2,663","15,095",84,"4,658","2,291,551","109,180","13,893","109,180","60,637","2,263,007","1,418,867","725,383","284,416",330,未取得,"5,309","4,891",不明,不明,"127,182","120,789",未取得,"6,393",不明,不明,不明,不明,不明,不明,不明,未取得,未取得,3,未取得,0,7,7,0,0,
新宿区,"342,867",18.22,11,1,0,0,"3,103","998,698","278,675","7,473","30,889","140,721","2,066",201,"4,801","1,318","48,246",0,"2,477","5,889",549,0,"1,818,409","90,020","12,676","65,615","46,198","2,674,193","2,000,876","739,427","289,880",478,"58,992","6,173","5,652",503,18,"901,447","889,571","5,104","6,772",370,"6,095",240,25,42,0,0,0,"173,997",11,"19,963",11,11,11,0,0,全館平成29年12月27日から平成30年1月1３日までシステム更新に伴う臨時休館。
文京区,"218,180",11.29,10,1,0,0,"3,437","1,140,474","278,193","6,282","29,802","285,576","1,487",120,"19,722",988,"131,094",0,"3,172","1,579",0,0,"1,369,592","272,420","13,556","68,220","48,126","3,980,579","2,947,472","1,001,557","703,528",378,"79,972","6,750","6,140",442,168,"1,600,742","1,343,906","19,121","12,621",783,"11,265",429,144,0,0,0,"225,094","222,412",10,"2,300",10,10,2,0,0,
台東区,"197,080",10.11,5,3,0,0,"1,474","607,671","129,737","3,453","24,306","124,168",852,89,0,0,"33,712",0,"1,196","4,135",192,0,"1,253,502","94,202","7,954","36,713","28,105","1,652,456",不明,"411,600","186,447",516,"16,524",未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,"100,377",1,未取得,0,1,1,0,0,
墨田区,"269,815",13.77,4,0,0,0,"1,369","547,373","141,483","2,232","22,913",不明,749,91,0,13,"15,474",0,19,"2,286",0,0,"1,081,324","78,821","7,574","37,639","31,891","1,377,951","1,179,347","422,776","106,750","1,260","42,769","5,185","4,619",196,370,"423,090",不明,不明,"4,116",139,"3,770",200,7,未取得,0,0,不明,"95,559",1,207,0,4,4,0,0,
江東区,"514,532",40.16,10,1,0,0,"3,259","1,529,908","350,402","9,598","32,931","275,465","1,999",238,0,"1,682","35,885",0,"2,840","3,420",0,0,"3,277,092","194,680","22,008","99,647",不明,"5,170,325",不明,"1,594,747","219,803",500,"109,627","16,312","13,900","2,282",130,"1,681,657","1,436,126","4,566","8,613",488,"7,709",340,38,30,8,0,"232,352","198,381",7,"23,036",0,11,11,0,0,
品川区,"390,397",22.84,10,3,0,0,"3,388","1,082,406","258,391","7,988","28,611","254,933","1,404",147,0,"2,962","60,851",0,"3,568","10,197",855,0,"2,185,728","138,246","22,283","83,373","66,510","3,324,689","2,592,902","1,072,449","455,714",369,"67,908","9,041","8,327",526,188,"1,025,304",不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,未取得,1,"43,653",1,10,2,0,0,平成30年4月7日にサービスポイント数が一つ増えて、4となる。
