自治体名,ホームページ,館名,電話番号,郵便番号,所在地,開館時間,休館日1,休館日2,座席数,備考
青ヶ島村,,青ヶ島村,"04996-9-0201
(教育委員会)",100-1701,青ヶ島村無番地,"8:30AM～12:00AM 
1PM～5:15PM","･土曜日
･日曜日
･祝日",,"6
(6)",
大島町,,大島町,04992-2-2392,100-0101,大島町元町字丸塚548番1,9AM～5PM,"･月曜日
･祝日
･年末年始",,"75(最大値)
(15)",CD・W〇
小笠原村,,地域福祉ｾﾝﾀｰ父島図書室,04998-2-2486,100-2101,父島字奥村,"9AM～9PM
(日曜日､祝日は～5PM)",･月曜日,,"10
(0)",多T・オ
小笠原村,,母島村民会館図書室,04998-3-2188,100-2211,母島字元地,9AM～9PM,"･日曜日
･祝日",,"4
(0)",
神津島村,https://vill.kouzushima.tokyo.jp/,神津島村,04992-8-0405,100-0601,神津島村974,9:30AM～5PM,"･月曜日
･祝日",,"51
(19)",W〇・多T・オ
新島村,http://www.niijima.com,住民ｾﾝﾀｰ図書室,04992-5-0203,100-0402,本村1-1-1,9AM～5PM,(年末年始を除き開館),,"0
(12)",C・W〇
八丈町,http://www.hachijo-library.jp/Library/,八丈町立,04996-2-0797,100-1511,三根26-6 八丈町ｺﾐｭﾆﾃｨｰｾﾝﾀｰ内,9:30AM～5PM,"･月曜日
･祝日",,"23
(12)",W〇・オ
三宅村,https://www.vill.miyake.tokyo.jp/,三宅村立,04994-5-1453,100-1212,三宅村阿古497,10AM～5PM,"･水曜日
 (祝日の場合は次の平日)",,"7
(0)",W〇
