自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数 , B　蔵書数図書総数(冊) , B　蔵書数図書総数内訳うち児童資料 , B　蔵書数図書総数内訳うち外国語資料 , B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）, B　蔵書数図書総数内訳うち閉架資料 , B　蔵書数雑誌（種） , B　蔵書数新聞（種） , B　蔵書数レコード（枚） , B　蔵書数カセット（巻） , B　蔵書数 ＣＤ（枚）  , B　蔵書数ＬＤ（枚） , B　蔵書数ビデオ（巻） , B　蔵書数DVD（枚） , B　蔵書数フィルム（巻） , B　蔵書数その他（点） , C　サービス・貸出・予約来館者数（人）       , C　サービス・貸出・予約個人貸出登録者登録者総数(人)       , C　サービス・貸出・予約個人貸出登録者内訳うち児童       , C　サービス・貸出・予約個人貸出登録者有効登録者数(人)         , C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数         , C　サービス・貸出・予約貸出冊数貸出総数(冊)       , C　サービス・貸出・予約貸出冊数貸出総内訳うち自治体内貸出数      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち児童資料      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち視聴覚資料      , C　サービス・貸出・予約 団体貸出団体数       , C　サービス・貸出・予約団体貸出貸出冊数（冊）       , C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳２３区へ    , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳多摩地区へ, C　サービス・貸出・予約 他自治体への貸出貸出総数内訳他県その他へ     , C　サービス・貸出・予約予約受付予約受付総数（冊）      , C　サービス・貸出・予約予約受付予約受付総数予約内訳所蔵資料を提供（冊）    , C　サービス・貸出・予約予約受付予約受付総数予約内訳購入して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳都立から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳２３区から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳多摩地区から, C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳他県から        , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳国会   , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳大学等  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳不明  , C　サービス・貸出・予約予約受付予約受付総数予約内訳未提供等      ,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,"D　電子資料等の利用館外貸出
有：1
無：0","D　電子資料等の利用機器提供
有：1
無：0",E　職員数館長専任事務,E　職員数館長専任司書資格あり,E　職員数館長兼任事務,E　職員数館長兼任司書資格あり,E　職員数館長その他非常勤資格なし,E　職員数館長その他非常勤資格あり,E　職員数館長その他PFI・指定管理資格なし,E　職員数館長その他PFI・指定管理資格あり,E　職員数常勤職員（人）総数,E　職員数常勤職員（人）総数うち司書,E　職員数非常勤職員（人）総数,E　職員数非常勤職員（人）総数うち司書,E　職員数臨時職員（人）総数,E　職員数臨時職員（人）総数うち司書,"F　運営形態・ボランティアの受入運営形態直営(委託なし）
（館）","F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）
（館）",F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳その他委託,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳業務全部,"F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳一部除外
業務あり",F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入障害者サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入その他（館）,G　図書館の予算（千円） 図書館費(a+b+c+d+e+f)（一般職員給料は除く）  ,G　図書館の予算（千円）   経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)  ,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a ア  図書費（千円）,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a ア  図書費（千円） うち児童関係図書費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a イ  雑誌・新聞費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a ウ  視聴覚資料費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a エ  その他図書館資料費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ) a オ  資料費区分せず(千円),"G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｂ賃金・報酬
（千円）",G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｃ講師・謝礼（千円）,G　図書館の予算（千円）  経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｄ委託費（千円）,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｄ委託費（千円）うち図書館関連委託費（千円）,G　図書館の予算（千円）経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｅ その他の図書館費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｆ 臨時的経費（千円）,G　図書館の予算（千円） 経常費 資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ)ｆ 臨時的経費（千円）うち臨時資料費（千円）,H　 備考備考
東京都,"13,865,911","2,193.96",2,0,0,0,590,"2,652,705","246,461","310,714","257,661","1,732,186","25,997","1,385","4,048","1,138","1,724",643,"6,298","1,689","11,510",377,"514,237",未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,"67,103","10,298","56,128",677,50,0,0,50,0,0,0,29,21,0,0,0,"1,262,924",2,"68,719",2,2,2,0,2,2,0,0,0,0,0,0,0,99,68,42.7,20.9,7.1,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,"1,730,943","321,849","171,117","5,040","73,470","1,016","76,246",0,"115,769","16,002","668,282","668,282","342,354","266,687",0,令和2年２月29日から5月31日まで新型コロナウイルス感染症拡大防止対策のため臨時休館
千代田区,"66,467",11.66,5,0,0,0,"1,661","529,257","48,874","8,149","23,757","218,423",831,88,0,200,"17,270",0,785,"1,955",0,0,"1,716,769","64,187","2,365","40,468","10,461","885,517","379,145","188,047","52,656",48,"3,865","2,628","2,471",134,23,"266,709",不明,不明,"3,485",549,"2,804",112,不明,不明,不明,20,不明,"244,781",2,"11,125",1,4,2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,"323,536","82,056","63,015",不明,図書費に含む,"2,482","16,559",0,0,未取得,"117,749",不明,"123,731",0,0,
中央区,"169,629",10.21,3,0,0,0,996,"606,928","110,313","1,356","75,949","283,969",699,44,0,264,"27,568",0,904,"1,318",429,0,"965,037","88,396","12,222","48,253","31,390","1,480,836","1,208,235","557,717","149,046",162,"15,768","2,018","1,883",95,40,"470,222","464,245",不明,"5,977",157,"5,606",167,26,21,0,0,不明,"108,448",3,"8,884",0,3,3,0,0,3,0,0,0,0,0,0,0,12,1,24.8,22.9,0,0,0,3,3,0,0,3,3,0,0,0,0,0,3,0,3,0,"1,604,582","64,497","46,952",不明,"9,056","4,673","3,816",0,"70,640",539,"246,828","202,049","60,655","1,161,423","22,000",
港区,"261,923",20.37,7,4,0,0,"2,349","1,107,559","284,794","31,332","43,625","320,830","1,509",105,0,574,"55,242","1,798","2,370","16,792",642,70,"2,175,734","113,119","12,107","113,119","61,823","2,268,121","1,503,666","759,815","240,103",376,"45,400","5,653","5,187",400,66,"123,766","112,791","3,810","7,165",598,"6,177",368,14,0,6,2,不明,未取得,3,未取得,0,7,7,0,0,1,0,0,0,0,0,4,2,17,1,14,14,0,0,0,1,0,1,0,1,1,0,1,6,6,0,1,0,1,0,"1,543,431","139,646","104,218","23,239","18,578","11,130","5,720",0,不明,"1,722","899,533","898,403","174,234","328,296","88,258",令和２年３月28日から５月25日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館
新宿区,"347,570",18.22,11,1,0,0,"3,166","1,032,463","294,298","8,269","32,564","144,717","1,976",179,"4,801","1,102","49,565",0,"1,803","6,906",551,0,"1,989,091","98,413","13,078","64,477","45,178","2,802,046","2,080,570","840,772","254,607",509,"69,986","6,590","6,037",539,14,"972,824","959,992","4,882","7,341",504,"6,525",251,9,49,3,0,609,"161,880",11,"15,012",11,11,11,0,0,1,1,0,0,0,0,3,6,41,15,23,22,0,0,0,2,0,0,0,1,1,0,1,9,9,0,10,6,5,1,"1,113,222","142,268","97,419","10,823","27,021","11,683","6,145",0,0,"3,948","746,261","746,261","198,804","21,941",0,
文京区,"226,933",11.29,10,1,0,0,"3,427","1,169,975","284,605","7,147","26,990","321,783","1,441",122,"19,716",820,"133,496",0,"3,086","2,019",0,0,"1,310,529","295,591","14,396","66,128","47,851","3,877,886","2,937,214","975,021","620,466",414,"85,691","6,590","6,047",386,157,"1,695,038","1,423,979","19,787","11,890",644,"10,789",421,36,0,0,0,"239,382","214,652",10,"3,487",10,10,2,0,0,1,0,0,0,0,0,2,7,22,15,5,4,0,0,0,1,0,1,1,0,1,0,1,9,9,0,8,4,2,4,"1,359,832","112,239","74,857","11,275","19,772","16,219","1,391",0,"16,764",506,"1,143,116","1,143,116","78,139","9,068",0,
台東区,"202,886",10.11,5,3,0,0,"1,472","595,917","129,068","3,407","22,001","128,295",822,89,0,0,"32,811",0,"1,140","4,464",192,0,"1,138,873","92,791","8,203","34,768","26,817","1,517,040",不明,"408,178","156,934",551,"18,205","2,826",未取得,未取得,未取得,"421,258",未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,"75,924",1,未取得,0,1,1,0,0,3,0,0,0,0,0,0,0,33,4,27,21,1.8,0,0,5,5,0,0,5,5,0,5,0,0,0,2,0,0,0,"511,639","69,667","51,094","14,148","11,446","5,095","2,032",0,"59,375","1,945","234,612","198,943","146,040",0,0,
墨田区,"275,529",13.77,4,0,0,0,"1,327","562,633","144,611","2,282","24,190",不明,761,99,0,7,"15,249",0,0,"2,686",0,0,"1,046,853","79,092","7,685","37,477","31,662","1,383,924","1,181,894","448,593","96,385","1,330","42,813","5,417","4,846",216,355,"479,268",不明,不明,"3,528",113,"3,190",217,3,不明,0,5,不明,"79,282",1,99,0,4,4,0,0,0,1,0,0,0,0,0,3,19,8,14.4,8.6,0,0,0,1,1,0,1,0,1,0,1,3,0,3,4,0,4,1,"692,644","72,365",不明,不明,不明,"1,498",不明,"70,867","34,551","2,019","376,493","327,253","124,603","82,613","2,000",
江東区,"525,062",40.16,10,1,0,0,"3,460","1,534,543","367,239","9,738","33,288","278,371","1,994",267,0,"1,455","35,311",0,"2,664","4,342",0,0,"3,252,433","197,575","21,594","96,949",不明,"5,107,871",不明,"1,648,860","190,011",518,"100,349","11,316","9,608","1,441",267,"1,771,578","1,517,306","4,977","9,948",537,"8,905",421,21,54,10,0,"239,347","173,316",7,"19,118",0,11,11,0,0,2,0,0,0,0,0,1,7,26,8,0,0,0,0,0,3,3,0,3,0,3,0,0,8,8,0,11,0,11,0,"1,403,226","181,798","141,483",不明,"32,598","5,151","2,566",0,0,"6,685","968,043",不明,"246,700",0,0,
品川区,"404,823",22.84,11,4,0,0,"3,760","1,134,150","271,497","8,674","30,487","288,125","1,482",140,0,"2,612","65,042",0,"2,638","10,858",0,166,"2,102,921","158,509","21,551","85,692","68,218","2,938,830","2,484,518","967,000","382,715",325,"55,127","5,876","5,521",219,136,"1,151,272",不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,未取得,1,"57,590",1,11,2,0,0,1,0,0,0,0,0,0,10,24,6,3,1,0,0,0,1,1,0,1,0,11,0,1,10,10,0,11,0,1,1,"1,315,164","58,532","40,075","7,731","5,140","7,438","5,879",0,0,"2,241","942,484","939,870","176,596","135,311","3,922",
