自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数 , B　蔵書数図書総数(冊) , B　蔵書数図書総数内訳うち児童資料 , B　蔵書数図書総数内訳うち外国語資料 , B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）, B　蔵書数図書総数内訳うち閉架資料 , B　蔵書数雑誌（種） , B　蔵書数新聞（種） , B　蔵書数レコード（枚） , B　蔵書数カセット（巻） , B　蔵書数 ＣＤ（枚）  , B　蔵書数ＬＤ（枚） , B　蔵書数ビデオ（巻） , B　蔵書数DVD（枚） , B　蔵書数フィルム（巻） , B　蔵書数その他（点） , C　サービス・貸出・予約来館者数（人）       , C　サービス・貸出・予約個人貸出登録者登録者総数(人)       , C　サービス・貸出・予約個人貸出登録者内訳うち児童       , C　サービス・貸出・予約個人貸出登録者有効登録者数(人)         , C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数         , C　サービス・貸出・予約貸出冊数貸出総数(冊)       , C　サービス・貸出・予約貸出冊数貸出総内訳うち自治体内貸出数      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち児童資料      , C　サービス・貸出・予約貸出冊数貸出総数内訳うち視聴覚資料      , C　サービス・貸出・予約 団体貸出団体数       , C　サービス・貸出・予約団体貸出貸出冊数（冊）       , C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳２３区へ    , C　サービス・貸出・予約 他自治体への貸出貸出総数内訳多摩地区へ, C　サービス・貸出・予約 他自治体への貸出貸出総数内訳他県その他へ     , C　サービス・貸出・予約予約受付予約受付総数（冊）      , C　サービス・貸出・予約予約受付予約受付総数予約内訳所蔵資料を提供（冊）    , C　サービス・貸出・予約予約受付予約受付総数予約内訳購入して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供      , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳都立から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳２３区から  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳多摩地区から, C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳他県から        , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳国会   , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳大学等  , C　サービス・貸出・予約予約受付予約受付総数予約内訳他から借用して提供内訳不明  , C　サービス・貸出・予約予約受付予約受付総数予約内訳未提供等      ,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,H　 備考備考
東京都,13569660,2190.93,2,0,0,0,612,2536959,226984,289377,237524,1659425,25463,1363,4048,1138,1709,643,6298,1493,11509,0,386629,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,63942,11225,52083,634,77,0,0,77,0,0,0,15,62,0,0,0,1384033,2,64996,2,2,2,
千代田区,60297,11.66,5,0,0,0,1732,575073,50786,8937,21118,215714,897,86,0,1787,20131,0,1811,1678,0,237,1913902,79353,3064,53820,14695,973474,389217,92027,75693,23,6664,2777,2620,142,15,276376,不明,不明,4113,456,3499,113,43,2,0,0,不明,276925,3,15984,2,5,3,
中央区,152174,10.21,3,0,0,0,1004,598600,116070,2197,71423,71423,710,46,0,289,27044,285,2303,1063,429,138,864629,86144,8045,44591,27024,1365645,917559,378442,171294,395,20278,2827,2693,126,8,6745,不明,不明,6745,223,6370,127,25,0,0,0,不明,126975,3,未取得,0,3,3,
港区,251015,20.37,7,1,0,0,2353,1046705,248603,27834,39026,203281,1333,100,0,574,53937,1819,2816,14353,642,69,未取得,127859,15298,127859,不明,2396383,不明,729328,529181,179,未取得,4747,不明,不明,不明,9693,不明,未取得,5934,不明,不明,不明,不明,不明,不明,不明,未取得,未取得,2,未取得,0,7,7,
新宿区,339339,18.22,11,1,0,0,2927,977456,269333,7106,29758,138577,2084,201,4800,1369,46854,0,2761,5549,549,0,1808655,101650,12354,62311,43452,2498781,1853201,620889,282106,444,59705,7328,6887,430,11,867446,854077,5483,7886,406,7162,244,28,46,0,0,0,176178,11,18524,10,11,11,記載する数値の見直し等により、運営方法は変更ないが、前年度と回答が変更になっているものがある。分室は含まない。
文京区,214683,11.29,10,1,0,0,3393,1131694,277462,6322,29521,274276,1517,118,19721,1414,129411,0,3242,1429,0,0,1380942,259999,12657,69638,48095,4061484,2767443,941385,869552,320,84274,7276,6645,466,165,1618296,1322965,27895,16494,957,14857,663,17,0,0,0,250942,229760,7,2089,10,10,2,
台東区,194639,10.11,5,3,0,0,1473,604539,127844,3463,24104,125072,858,89,0,0,34368,0,1209,3922,192,0,1289005,95791,7682,95536,28770,1491738,未取得,418666,203138,482,16089,未取得,不明,不明,不明,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,94386,1,未取得,0,1,1,
墨田区,266356,13.77,4,0,0,0,1178,532021,138707,2174,22295,未取得,746,79,0,39,15018,0,30,2167,0,0,934281,76526,7339,37244,31780,1242050,1068520,359035,103776,1233,42893,4889,4287,83,519,381773,未取得,未取得,4086,115,3788,178,5,未取得,0,0,未取得,83696,0,158,0,4,4,
江東区,508320,40.16,10,1,0,0,3234,1524718,342948,9132,32896,286426,2009,226,0,1854,35845,0,3055,3136,0,0,3281695,194134,21847,100943,未取得,5103440,未取得,1521925,227898,502,111353,15431,13196,2114,121,1821400,1594039,4626,9595,453,8682,387,27,22,24,0,213140,194174,7,28515,0,11,11, 「C サービス・貸出・予約」の各数値については枝川図書サービスコーナー分を含めている。
品川区,385122,22.84,10,2,0,0,3410,1072484,256442,5490,28309,256897,1438,135,0,3180,60032,0,3688,9649,855,0,2209514,176977,32168,102662,83274,3124996,2602109,904009,474728,46,8818,8827,8230,505,93,1019681,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,1,47882,1,10,0,
