区分,雑誌タイトル名,種別,所蔵自治体名
アルファベット行,TVぴあ(月刊）,テープ,文京区
アルファベット行,TVぴあ(月刊）,デイジー,
ア行,アエラ（週刊）,テープ,
ア行,アエラ（週刊）,デイジー,八王子市
ア行,朝日新聞(抄録）(月刊）,テープ,
ア行,朝日新聞(抄録）(月刊）,デイジー,国立市
ア行,浮巣(月刊）,テープ,大田区
ア行,浮巣(月刊）,デイジー,大田区
ア行,エコノミスト(週刊）,テープ,
ア行,エコノミスト(週刊）,デイジー,練馬区
ア行,大相撲ジャーナル,テープ,
ア行,大相撲ジャーナル,デイジー,練馬区
ア行,おそい・はやい・たかい・ひくい（隔月）,テープ,
ア行,おそい・はやい・たかい・ひくい（隔月）,デイジー,豊島区（ひかり文庫 )
カ行,角川俳句（月刊）,テープ,
カ行,角川俳句（月刊）,デイジー,町田市
カ行,きょうの健康（隔月）,テープ,文京区
カ行,きょうの健康（隔月）,デイジー,
カ行,近代中小企業(月刊）,テープ,
カ行,近代中小企業(月刊）,デイジー,墨田区
カ行,暮らしの手帖(隔月刊）,テープ,練馬区
カ行,暮らしの手帖(隔月刊）,デイジー,
カ行,経済情報(月２回）,テープ,
カ行,経済情報(月２回）,デイジー,墨田区
カ行,コラム読み比べ（毎日、日経、読売、産経）(月刊）,テープ,
カ行,コラム読み比べ（毎日、日経、読売、産経）(月刊）,デイジー,国立市
カ行,今月の本棚（月刊）,テープ,
カ行,今月の本棚（月刊）,デイジー,豊島区（ひかり文庫 )
サ行,小説新潮（月刊）,テープ,
サ行,小説新潮（月刊）,デイジー,世田谷区
サ行,新潮(月刊）,テープ,
サ行,新潮(月刊）,デイジー,豊島区（ひかり文庫 )
サ行,新潮４５(月刊）,テープ,
サ行,新潮４５(月刊）,デイジー,杉並区
サ行,ステラ(週刊）,テープ,大田区、練馬区
サ行,ステラ(週刊）,デイジー,大田区
サ行,総合リハビリテーション（隔月）,テープ,
サ行,総合リハビリテーション（隔月）,デイジー,大田区
タ行,食べもの通信(月刊）,テープ,練馬区
タ行,食べもの通信(月刊）,デイジー,
タ行,多摩のあゆみ(季刊）,テープ,
タ行,多摩のあゆみ(季刊）,デイジー,都立多摩
タ行,ダンスファン,テープ,練馬区
タ行,ダンスファン,デイジー,
タ行,鉄道ファン（月刊）,テープ,練馬区
タ行,鉄道ファン（月刊）,デイジー,町田市
タ行,東京人(月刊）,テープ,練馬区
タ行,東京人(月刊）,デイジー,
タ行,東京新聞（筆洗）,テープ,
タ行,東京新聞（筆洗）,デイジー,昭島市
タ行,図書（月刊）,テープ,
タ行,図書（月刊）,デイジー,東村山市（富士見）
タ行,虎屋文庫資料展（季刊）,テープ,
タ行,虎屋文庫資料展（季刊）,デイジー,港区
ナ行,日経トップリーダー(月刊）,テープ,
ナ行,日経トップリーダー(月刊）,デイジー,墨田区
ナ行,日経ヘルス(月刊）,テープ,
ナ行,日経ヘルス(月刊）,デイジー,大田区
ナ行,ニュートン(月刊）,テープ,大田区
ナ行,ニュートン(月刊）,デイジー,大田区
ハ行,俳句雑誌「多磨」(月刊）,テープ,東大和市
ハ行,俳句雑誌「多磨」(月刊）,デイジー,東大和市
ハ行,ハルメク（月刊）※改題前誌いきいき（月刊）平成28年5月号より名称変更,テープ,江東区
ハ行,ハルメク（月刊）※改題前誌いきいき（月刊）平成28年5月号より名称変更,デイジー,江東区
ハ行,文藝,テープ,
ハ行,文藝,デイジー,杉並区
ハ行,ベターホーム(月刊）,テープ,練馬区
ハ行,ベターホーム(月刊）,デイジー,
ハ行,ぽけっと(月刊）※発行  練馬区社会福祉協議会,テープ,練馬区
ハ行,ぽけっと(月刊）※発行  練馬区社会福祉協議会,デイジー,
マ行,毎日新聞（書評）,テープ,
マ行,毎日新聞（書評）,デイジー,都立多摩  あきる野市
マ行,毎日新聞読書欄（月刊）,テープ,
マ行,毎日新聞読書欄（月刊）,デイジー,杉並区
マ行,町かど(月２回）,テープ,八王子市
マ行,町かど(月２回）,デイジー,八王子市
マ行,港区情報誌「キスポート」(月刊）,テープ,
マ行,港区情報誌「キスポート」(月刊）,デイジー,港区
ヤ行,横浜ラポールニュース（月刊）,テープ,町田市
ヤ行,横浜ラポールニュース（月刊）,デイジー,
ラ行,ランナーズ（週刊）,テープ,
ラ行,ランナーズ（週刊）,デイジー,多摩市（永山）
