自治体名,人口,自治体面積（km2）,A施設図書館設置条例記載の有無（有：１／無：０）,A施設サービスポイント数,A施設自動車図書館台数（台）,A施設自動車図書館巡回箇所,A施設年間開館日数,B蔵書数図書総数(冊),B蔵書数図書総数内訳うち児童資料(冊),B蔵書数図書総数内訳うち外国語資料(冊),B蔵書数図書総数内訳うち地域資料（郷土及び行政資料）(冊),B蔵書数図書総数内訳うち閉架資料(冊),B蔵書数雑誌（種）,B蔵書数新聞（種）,B蔵書数レコード（枚）,B蔵書数カセット（巻）,B蔵書数ＣＤ（枚）,B蔵書数ＬＤ（枚）,B蔵書数ビデオ（巻）,B蔵書数DVD（枚）,B蔵書数フィルム（巻）,B蔵書数その他（点）,Cサービス・貸出・予約来館者数（人）,Cサービス・貸出・予約個人貸出登録者（１）登録者総数(人),Cサービス・貸出・予約個人貸出登録者（１）登録者総数内訳うち児童(人),Cサービス・貸出・予約個人貸出登録者（２）有効登録者数(人),Cサービス・貸出・予約個人貸出登録者（２）有効登録者数内訳（３）うち自治体内有効登録者数(人),Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数(冊),Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数内訳（５）うち自治体内貸出数(冊）,Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数内訳うち児童資料(冊）,Cサービス・貸出・予約個人貸出貸出冊数（４）貸出総数内訳うち視聴覚資料(冊）,Cサービス・貸出・予約団体貸出団体数,Cサービス・貸出・予約団体貸出貸出冊数（冊）,Cサービス・貸出・予約他自治体への貸出貸出総数(冊),Cサービス・貸出・予約他自治体への貸出貸出総数内訳23区へ(冊),Cサービス・貸出・予約他自治体への貸出貸出総数内訳多摩地区へ(冊),Cサービス・貸出・予約他自治体への貸出貸出総数内訳他県その他へ(冊),Cサービス・貸出・予約予約受付予約受付総数(冊),Cサービス・貸出・予約予約受付予約内訳所蔵資料を提供(冊),Cサービス・貸出・予約予約受付予約内訳購入して提供(冊),Cサービス・貸出・予約予約受付予約内訳他から借用して提供(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳都立から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳23区から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳多摩地区から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳他県から(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳国会(冊),Cサービス・貸出・予約予約受付予約内訳借用内訳大学等(冊),Cサービス・貸出・予約予約受付予約内訳不明(冊),Cサービス・貸出・予約予約受付予約内訳未提供等(冊),Cサービス・貸出・予約文献複写枚数（枚）,Cサービス・貸出・予約参考業務専用カウンターの有：1/無：0,Cサービス・貸出・予約参考業務受付件数（件）,D電子資料等の利用利用者向けCD-ROMの利用有：1/無：0,D電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用有：1/無：0,D電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用有：1/無：0,H備考備考
東京都,13458848,2190.90,2,0,0,0,657,2488288,220372,281314,232062,1573060,25134,1356,4048,1138,1632,643,6298,1399,11508,0,354379,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,82967,13269,68341,1357,211,0,0,211,0,0,0,33,178,0,0,0,1555728,2,67352,2,2,2,
千代田区,59042,11.66,5,0,0,0,1741,525513,48312,8908,20273,171741,916,84,0,1803,19999,0,1914,1580,0,125,1953002,78151,2988,63399,11331,991195,392482,87122,86132,36,5113,2730,2570,148,12,4428,0,0,4428,622,3686,72,38,6,4,0,不明,330181,2,14278,2,5,3,
中央区,145004,10.21,3,0,0,0,1010,594726,101653,2245,69899,286916,710,85,0,289,26769,285,2420,950,429,138,949662,114800,8584,47292,28464,1590301,1070489,409685,191441,371,14440,3589,3403,180,6,470132,不明,不明,5656,169,5286,179,18,4,0,0,0,143649,3,未取得,0,3,3,
港区,246664,20.37,7,1,0,0,2353,1026407,251360,24467,37738,217808,1383,101,0,574,53901,1799,2980,13473,642,68,不明,164392,13348,164392,78903,2382336,1901972,628117,318219,271,未取得,5229,4943,256,30,814691,808484,未取得,6207,421,5499,268,4,0,15,0,未取得,未取得,3,45,0,7,7,
新宿区,335510,18.22,10,0,0,0,2918,906819,248800,6776,28876,138695,1930,186,4800,1405,41147,0,3104,4718,618,0,1773761,99995,11752,61426,42418,2468172,1820916,587964,294189,412,51081,7379,6916,447,16,874386,860155,6229,8011,356,7385,206,22,42,0,0,0,172854,10,17889,2,10,10,
文京区,211451,11.29,10,1,0,0,3331,1128548,274387,6077,29789,256899,1441,117,19751,1424,125356,0,3262,1239,0,0,1362030,246917,11850,68330,46406,3943639,2631930,873493,853349,348,69667,4889,4354,315,220,1566545,1294740,29885,18549,987,16919,623,18,2,0,0,223371,234637,7,1654,10,10,2,
台東区,192510,10.11,4,3,0,0,1481,598223,127080,3310,23792,138237,876,88,0,0,34662,0,1314,3761,192,0,1267612,99005,7497,未取得,未取得,1694625,未取得,388379,229154,1031,16688,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,1,20850,0,1,1,
墨田区,263456,13.77,4,0,0,0,1347,551429,147749,2154,22694,未取得,799,76,0,330,15319,0,191,1962,0,0,1075398,77308,7401,37936,32380,1429360,1232037,415649,125215,1094,41306,4989,4487,134,368,415236,0,0,4285,155,3960,165,5,未取得,0,0,未取得,92704,0,117,0,4,4,臨時的経費は大規模改修工事のため。Cサービス・貸出・予約の参考業務の受付件数（件）については、H27年度から数字の取り方を変更した。
江東区,502779,40.16,10,1,0,0,3236,1508064,335593,8757,31723,289425,1949,211,0,1933,35390,0,3073,2679,0,0,3190787,195913,24944,100041,0,5051320,0,1451441,232954,533,110962,18174,15890,2158,126,1635342,1380700,5730,9096,528,8076,361,21,37,73,0,239816,203421,7,30260,0,11,11,
品川区,380293,22.84,10,2,0,0,3313,1049921,255306,5378,27686,244781,1436,135,0,3381,57574,0,3892,9276,855,0,2132851,143624,22335,80901,110676,3111034,2575910,839680,503378,50,8794,9665,5917,3479,269,992884,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,236299,1,49885,1,10,2,
目黒区,272478,14.67,8,0,0,0,2534,1167758,224502,21287,14045,257698,1060,229,0,0,38970,0,133,0,0,493,2307704,134188,6273,134188,75172,4391555,2866348,993276,265540,1021,36239,16472,14768,1643,61,1489141,1239947,6933,7334,816,6156,326,12,24,0,0,294,240846,8,2572,0,3,1,
大田区,715156,60.66,16,0,0,0,5441,1819848,415332,13891,48195,564773,1943,146,0,14892,93523,0,3485,2673,0,0,2048094,165086,24153,114998,108054,5522867,5165700,1713545,453775,1178,106962,15659,13801,533,1325,1782084,1544511,972,9174,784,7192,494,549,155,0,0,6,235789,0,78909,0,16,16,
世田谷区,887994,58.05,16,7,0,0,5032,1866549,467491,13254,48502,199629,4006,179,0,393,59081,0,0,386,0,165,0,351410,52844,不明,不明,6376198,不明,1924996,318996,816,37866,8713,8093,596,24,1979643,1950317,13043,15427,1189,13422,544,62,144,66,0,856,495503,7,76556,1,16,2,
渋谷区,221311,15.11,10,0,0,0,2979,824788,147083,9636,16142,141366,1075,113,0,3859,20808,0,0,4080,0,0,1650938,69621,4653,69621,39450,1640523,不明,418576,73021,439,42342,5552,5363,178,11,783009,775573,0,7163,397,6453,246,45,4,18,0,273,112348,1,50582,0,1,1,
中野区,323688,15.59,8,0,0,0,2659,978589,195301,13112,32733,306943,1279,281,2390,1389,21874,0,5340,152,1631,0,1027847,58712,7809,0,0,2099657,不明,328007,99295,447,35464,8633,8124,480,29,623080,507540,2156,12016,419,11136,391,不明,不明,20,50,101368,224486,1,82839,1,8,1,
杉並区,555897,34.06,13,2,0,0,4331,2232489,563147,9530,47781,827912,1967,223,1247,912,29903,0,0,0,1592,17,2806345,170901,21428,不明,不明,4615942,不明,841713,122084,1088,226269,15004,14040,905,59,289036,282079,不明,6851,1018,5481,297,36,19,不明,不明,106,398872,4,34010,0,13,13,
