"年度","園数[か所]","面積[平法メートル]"
"2018","57","40753.99"
"2019","57","40753.99"
"2020","56","40306.66"
"2021","57","41647.69"
"2022","58","42098.73"

"令和4年度港区行政資料集　児童遊園数及び面積","Ver202204",
