国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成28年中の転出者数
総数,0,13000,総数,23020,26758,66604,45105,26829,25873,27467,27111,25653,27053,23691,25034,370198
総数,1,13100,区部,17648,20327,48595,34322,20237,19969,21082,20670,19755,20842,18476,19564,281487
総数,1,13200,市部,5298,6337,17628,10594,6504,5808,6298,6317,5789,6131,5122,5381,87207
総数,2,13300,郡部,55,48,121,91,44,57,56,78,66,37,56,45,754
総数,2,13350,島部,19,46,260,98,44,39,31,46,43,43,37,44,750
総数,1,13100,区部,17648,20327,48595,34322,20237,19969,21082,20670,19755,20842,18476,19564,281487
総数,4,13101,千代田区,105,124,467,387,122,146,146,165,138,102,103,127,2132
総数,4,13102,中央区,312,384,783,650,347,396,339,321,361,360,308,326,4887
総数,4,13103,港区,453,567,1149,852,530,553,685,587,501,516,487,504,7384
総数,4,13104,新宿区,802,840,2539,1739,992,972,1030,1036,1034,918,906,1000,13808
総数,4,13105,文京区,392,449,1468,991,441,438,428,416,424,429,400,464,6740
総数,4,13106,台東区,440,489,957,777,462,534,471,463,467,511,414,421,6406
総数,4,13107,墨田区,477,673,1135,910,579,603,614,619,577,605,511,552,7855
総数,4,13108,江東区,872,945,2252,1636,976,945,1012,1024,969,998,871,904,13404
総数,4,13109,品川区,772,853,1895,1453,883,850,918,830,736,925,848,931,11894
総数,4,13110,目黒区,522,647,1464,1197,585,641,694,714,606,657,548,626,8901
総数,4,13111,大田区,1492,1581,3942,3162,1772,1830,1942,1779,1596,1824,1590,1721,24231
総数,4,13112,世田谷区,1664,1980,4702,3206,1814,1834,1997,1963,1772,1860,1880,1875,26547
総数,4,13113,渋谷区,436,498,939,727,460,478,490,452,475,501,419,508,6383
総数,4,13114,中野区,684,840,1708,1385,766,721,815,790,725,876,657,765,10732
総数,4,13115,杉並区,985,1135,2800,1997,1163,1145,1096,1081,1069,1156,912,1076,15615
総数,4,13116,豊島区,732,807,1778,1352,851,751,754,794,832,856,770,791,11068
総数,4,13117,北区,763,807,2082,1565,855,815,984,970,907,958,754,836,12296
総数,4,13118,荒川区,359,418,930,749,413,406,387,464,432,455,390,389,5792
総数,4,13119,板橋区,1044,1222,2977,2036,1283,1213,1158,1305,1182,1253,1140,1183,16996
総数,4,13120,練馬区,1265,1474,3963,2525,1391,1330,1612,1472,1352,1441,1266,1290,20381
総数,4,13121,足立区,1128,1173,2602,1839,1302,1179,1270,1216,1242,1344,1190,1191,16676
総数,4,13122,葛飾区,725,843,1855,1231,820,797,835,773,783,841,727,759,10989
総数,4,13123,江戸川区,1224,1578,4208,1956,1430,1392,1405,1436,1575,1456,1385,1325,20370
総数,1,13200,市部,5298,6337,17628,10594,6504,5808,6298,6317,5789,6131,5122,5381,87207
総数,4,13201,八王子市,681,884,2814,1333,807,712,799,762,716,697,660,692,11557
総数,4,13202,立川市,189,255,725,483,263,228,275,294,283,295,234,190,3714
総数,4,13203,武蔵野市,202,281,741,437,244,230,231,258,232,238,260,240,3594
総数,4,13204,三鷹市,252,306,773,600,308,297,294,313,267,330,223,253,4216
総数,4,13205,青梅市,118,120,436,147,100,116,112,123,118,176,120,105,1791
総数,4,13206,府中市,341,370,1097,773,491,374,417,363,412,402,318,328,5686
総数,4,13207,昭島市,119,111,340,174,147,107,120,151,146,115,133,106,1769
総数,4,13208,調布市,324,417,1017,661,349,334,394,395,361,404,274,330,5260
総数,4,13209,町田市,787,844,1750,1226,823,769,776,787,710,836,685,739,10732
総数,4,13210,小金井市,170,180,708,426,238,220,250,218,197,196,160,175,3138
総数,4,13211,小平市,210,266,1103,517,305,242,304,279,241,275,197,230,4169
総数,4,13212,日野市,209,245,748,445,278,263,265,285,246,290,200,308,3782
総数,4,13213,東村山市,194,185,662,268,224,187,235,222,219,152,182,182,2912
総数,4,13214,国分寺市,180,221,526,383,275,166,199,198,185,187,133,169,2822
総数,4,13215,国立市,103,136,364,198,123,99,111,110,95,118,71,131,1659
総数,4,13218,福生市,38,89,211,137,79,68,86,89,83,75,53,52,1060
総数,4,13219,狛江市,131,200,368,229,149,141,158,160,117,168,138,138,2097
総数,4,13220,東大和市,97,58,244,134,111,81,92,97,82,82,75,76,1229
総数,4,13221,清瀬市,71,130,296,212,123,154,123,111,103,107,125,96,1651
総数,4,13222,東久留米市,146,128,389,370,160,163,186,167,150,171,162,139,2331
総数,4,13223,武蔵村山市,60,98,223,105,71,69,101,87,86,57,84,68,1109
総数,4,13224,多摩市,163,211,576,318,239,186,188,234,164,199,179,169,2826
総数,4,13225,稲城市,117,172,379,228,138,120,129,139,131,147,107,116,1923
総数,4,13227,羽村市,55,61,149,110,71,103,60,74,56,68,61,53,921
総数,4,13228,あきる野市,46,61,155,111,72,69,73,55,58,63,41,34,838
総数,4,13229,西東京市,295,308,834,569,316,310,320,346,331,283,247,262,4421
総数,1,13550,町村部,74,94,381,189,88,96,87,124,109,80,93,89,1504
総数,2,13300,郡部,55,48,121,91,44,57,56,78,66,37,56,45,754
総数,4,13303,瑞穂町,36,27,63,42,32,20,45,36,40,29,25,22,417
総数,4,13305,日の出町,15,17,44,27,10,34,9,42,26,7,29,23,283
総数,4,13307,檜原村,4,1,3,13,0,0,0,0,0,0,1,0,22
総数,4,13308,奥多摩町,0,3,11,9,2,3,2,0,0,1,1,0,32
総数,2,13350,島部,19,46,260,98,44,39,31,46,43,43,37,44,750
総数,3,13360,大島支庁,9,18,118,53,19,17,6,18,13,17,16,16,320
総数,4,13361,大島町,6,12,73,46,14,11,3,15,8,8,12,8,216
総数,4,13362,利島村,0,0,12,1,1,0,0,0,0,1,2,0,17
総数,4,13363,新島村,3,1,23,4,3,3,1,2,3,3,0,5,51
総数,4,13364,神津島村,0,5,10,2,1,3,2,1,2,5,2,3,36
総数,3,13380,三宅支庁,3,8,32,7,2,8,2,6,11,2,4,5,90
総数,4,13381,三宅村,2,7,29,6,2,7,2,6,11,2,1,3,78
総数,4,13382,御蔵島村,1,1,3,1,0,1,0,0,0,0,3,2,12
