国籍区分,地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成28年中の出生数
総数,0,13000,総数,9728,9346,9685,8618,9994,9584,9608,10568,9883,10047,9740,8951,115752
総数,1,13100,区部,7023,6714,7019,6199,7204,6911,6996,7472,7176,7264,7053,6415,83446
総数,1,13200,市部,2674,2583,2605,2379,2738,2626,2561,3037,2664,2748,2634,2497,31746
総数,2,13300,郡部,24,34,46,29,37,29,36,32,32,23,34,22,378
総数,2,13350,島部,7,15,15,11,15,18,15,27,11,12,19,17,182
総数,1,13100,区部,7023,6714,7019,6199,7204,6911,6996,7472,7176,7264,7053,6415,83446
総数,4,13101,千代田区,49,44,47,43,50,57,52,50,60,57,57,61,627
総数,4,13102,中央区,162,152,171,158,178,171,190,194,156,189,164,147,2032
総数,4,13103,港区,261,287,261,215,267,296,258,277,282,283,291,273,3251
総数,4,13104,新宿区,232,258,240,208,230,221,226,244,242,252,237,200,2790
総数,4,13105,文京区,181,161,180,163,201,178,185,199,164,198,177,180,2167
総数,4,13106,台東区,113,143,132,118,134,128,129,151,136,138,145,123,1590
総数,4,13107,墨田区,195,197,223,209,214,215,198,213,214,207,212,189,2486
総数,4,13108,江東区,451,405,384,370,421,424,421,423,430,451,410,390,4980
総数,4,13109,品川区,343,311,313,281,350,302,358,330,358,329,324,290,3889
総数,4,13110,目黒区,245,193,221,187,245,219,212,231,201,207,224,191,2576
総数,4,13111,大田区,550,498,463,469,502,479,474,529,554,523,533,407,5981
総数,4,13112,世田谷区,697,646,680,601,660,671,676,727,686,722,675,619,8060
総数,4,13113,渋谷区,162,185,201,166,182,182,173,190,196,188,171,159,2155
総数,4,13114,中野区,209,245,248,212,230,226,266,232,208,250,226,216,2768
総数,4,13115,杉並区,372,382,400,356,413,397,400,428,407,384,407,399,4745
総数,4,13116,豊島区,178,161,188,162,220,192,217,193,193,191,175,154,2224
総数,4,13117,北区,251,221,265,209,269,247,281,291,257,261,230,249,3031
総数,4,13118,荒川区,169,171,152,130,156,165,163,164,187,149,154,145,1905
総数,4,13119,板橋区,420,391,424,401,439,394,390,434,381,399,370,367,4810
総数,4,13120,練馬区,511,472,502,407,590,507,498,563,557,563,591,464,6225
総数,4,13121,足立区,456,444,480,403,472,428,466,471,469,456,449,416,5410
総数,4,13122,葛飾区,340,263,343,290,297,302,299,347,326,316,327,289,3739
総数,4,13123,江戸川区,476,484,501,441,484,510,464,591,512,551,504,487,6005
総数,1,13200,市部,2674,2583,2605,2379,2738,2626,2561,3037,2664,2748,2634,2497,31746
総数,4,13201,八王子市,325,291,328,273,338,264,286,324,327,317,280,305,3658
総数,4,13202,立川市,116,123,124,113,127,117,105,159,109,116,115,113,1437
総数,4,13203,武蔵野市,100,103,94,98,102,100,100,137,106,127,121,99,1287
総数,4,13204,三鷹市,138,124,122,137,128,124,147,161,133,130,141,118,1603
総数,4,13205,青梅市,54,64,67,61,78,74,71,80,78,70,66,59,822
総数,4,13206,府中市,194,188,177,169,206,183,194,216,205,194,185,153,2264
総数,4,13207,昭島市,74,69,83,64,68,77,59,88,69,71,75,67,864
総数,4,13208,調布市,182,168,152,146,209,184,158,185,174,180,168,160,2066
総数,4,13209,町田市,221,268,224,222,278,248,209,256,243,256,214,191,2830
総数,4,13210,小金井市,91,80,78,72,79,92,84,105,82,100,76,95,1034
総数,4,13211,小平市,139,135,111,118,131,129,127,176,142,134,143,118,1603
総数,4,13212,日野市,129,132,133,117,128,127,137,135,142,138,138,124,1580
総数,4,13213,東村山市,74,89,88,60,87,82,89,100,80,61,79,83,972
総数,4,13214,国分寺市,92,82,92,85,86,85,78,91,102,96,76,88,1053
総数,4,13215,国立市,47,48,35,45,60,56,48,53,35,54,37,58,576
総数,4,13218,福生市,36,35,37,34,36,37,39,30,40,34,35,49,442
総数,4,13219,狛江市,52,60,61,51,63,59,62,85,66,68,70,52,749
総数,4,13220,東大和市,76,63,58,53,55,56,62,63,45,55,70,64,720
総数,4,13221,清瀬市,46,42,42,43,34,48,47,66,47,51,41,39,546
総数,4,13222,東久留米市,75,57,82,69,81,77,54,85,64,77,69,77,867
