国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,平成28年中の死亡数
総数,0,13000,総数,10964,10318,10277,8779,9506,8760,8150,9502,8918,9497,10041,9866,114578
総数,1,13100,区部,7601,7022,7017,6066,6484,5968,5514,6404,6002,6435,6810,6605,77928
総数,1,13200,市部,3230,3185,3136,2627,2908,2690,2538,2979,2796,2945,3098,3132,35264
総数,2,13300,郡部,93,74,86,62,79,80,62,85,81,84,89,93,968
総数,2,13350,島部,40,37,38,24,35,22,36,34,39,33,44,36,418
総数,1,13100,区部,7601,7022,7017,6066,6484,5968,5514,6404,6002,6435,6810,6605,77928
総数,4,13101,千代田区,43,28,32,38,40,25,25,31,36,37,40,43,418
総数,4,13102,中央区,98,56,82,59,60,67,65,79,46,58,63,76,809
総数,4,13103,港区,144,156,115,121,146,113,88,117,100,151,136,118,1505
総数,4,13104,新宿区,248,223,248,214,211,216,207,231,224,196,219,235,2672
総数,4,13105,文京区,159,152,132,150,137,96,98,131,130,146,119,157,1607
総数,4,13106,台東区,209,184,183,163,174,160,148,172,161,189,171,180,2094
総数,4,13107,墨田区,232,221,247,200,198,185,161,213,187,203,185,203,2435
総数,4,13108,江東区,412,323,360,321,326,300,280,352,318,322,370,359,4043
総数,4,13109,品川区,308,277,287,248,267,256,190,252,238,246,259,230,3058
総数,4,13110,目黒区,179,194,182,143,132,164,150,183,154,170,173,156,1980
総数,4,13111,大田区,613,615,556,506,569,476,457,517,463,526,595,536,6429
総数,4,13112,世田谷区,621,555,601,489,506,498,532,471,517,527,582,536,6435
総数,4,13113,渋谷区,154,142,137,126,129,99,120,138,110,140,158,140,1593
総数,4,13114,中野区,258,253,214,214,217,189,189,246,208,235,225,193,2641
総数,4,13115,杉並区,437,446,420,356,344,340,322,348,362,354,381,351,4461
総数,4,13116,豊島区,263,221,209,176,226,192,151,202,183,186,185,208,2402
総数,4,13117,北区,371,328,302,281,300,261,247,291,278,283,272,312,3526
総数,4,13118,荒川区,198,178,190,163,182,144,155,159,175,171,191,166,2072
総数,4,13119,板橋区,473,423,450,330,433,430,340,358,380,434,493,431,4975
総数,4,13120,練馬区,542,551,518,429,494,436,419,486,418,480,564,525,5862
総数,4,13121,足立区,705,569,631,557,576,537,460,585,516,557,586,560,6839
総数,4,13122,葛飾区,452,406,435,354,375,330,338,406,384,355,378,390,4603
総数,4,13123,江戸川区,482,521,486,428,442,454,372,436,414,469,465,500,5469
総数,1,13200,市部,3230,3185,3136,2627,2908,2690,2538,2979,2796,2945,3098,3132,35264
総数,4,13201,八王子市,440,460,448,357,416,387,402,388,385,405,404,460,4952
総数,4,13202,立川市,149,158,159,121,128,101,123,127,135,119,138,133,1591
総数,4,13203,武蔵野市,114,92,103,71,89,76,80,121,104,105,91,93,1139
総数,4,13204,三鷹市,143,115,120,94,124,121,105,121,106,99,137,113,1398
総数,4,13205,青梅市,176,149,119,125,128,131,98,137,131,140,117,132,1583
総数,4,13206,府中市,171,182,180,151,163,156,150,168,171,169,187,175,2023
総数,4,13207,昭島市,95,102,100,65,89,81,84,97,81,78,112,86,1070
総数,4,13208,調布市,161,154,132,137,139,139,118,149,155,135,154,157,1730
総数,4,13209,町田市,281,359,296,258,302,266,252,288,288,311,330,323,3554
総数,4,13210,小金井市,79,66,90,65,61,62,59,72,78,80,76,87,875
総数,4,13211,小平市,157,139,150,123,130,119,113,118,114,136,138,134,1571
総数,4,13212,日野市,145,119,131,104,104,119,94,127,130,129,120,122,1444
総数,4,13213,東村山市,113,125,134,104,121,112,90,127,119,121,136,125,1427
総数,4,13214,国分寺市,73,83,85,84,91,52,54,66,82,78,84,78,910
