国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成28年中の増減
総数,0,13000,総数,-1236,-972,-592,-161,488,824,1458,1066,965,550,-301,-915,1174
総数,1,13100,区部,-578,-308,2,133,720,943,1482,1068,1174,829,243,-190,5518
総数,1,13200,市部,-556,-602,-531,-248,-170,-64,23,58,-132,-197,-464,-635,-3518
総数,2,13300,郡部,-69,-40,-40,-33,-42,-51,-26,-53,-49,-61,-55,-71,-590
総数,2,13350,島部,-33,-22,-23,-13,-20,-4,-21,-7,-28,-21,-25,-19,-236
総数,1,13100,区部,-578,-308,2,133,720,943,1482,1068,1174,829,243,-190,5518
総数,4,13101,千代田区,6,16,15,5,10,32,27,19,24,20,17,18,209
総数,4,13102,中央区,64,96,89,99,118,104,125,115,110,131,101,71,1223
総数,4,13103,港区,117,131,146,94,121,183,170,160,182,132,155,155,1746
総数,4,13104,新宿区,-16,35,-8,-6,19,5,19,13,18,56,18,-35,118
総数,4,13105,文京区,22,9,48,13,64,82,87,68,34,52,58,23,560
総数,4,13106,台東区,-96,-41,-51,-45,-40,-32,-19,-21,-25,-51,-26,-57,-504
総数,4,13107,墨田区,-37,-24,-24,9,16,30,37,0,27,4,27,-14,51
総数,4,13108,江東区,39,82,24,49,95,124,141,71,112,129,40,31,937
総数,4,13109,品川区,35,34,26,33,83,46,168,78,120,83,65,60,831
総数,4,13110,目黒区,66,-1,39,44,113,55,62,48,47,37,51,35,596
総数,4,13111,大田区,-63,-117,-93,-37,-67,3,17,12,91,-3,-62,-129,-448
総数,4,13112,世田谷区,76,91,79,112,154,173,144,256,169,195,93,83,1625
総数,4,13113,渋谷区,8,43,64,40,53,83,53,52,86,48,13,19,562
総数,4,13114,中野区,-49,-8,34,-2,13,37,77,-14,0,15,1,23,127
総数,4,13115,杉並区,-65,-64,-20,0,69,57,78,80,45,30,26,48,284
総数,4,13116,豊島区,-85,-60,-21,-14,-6,0,66,-9,10,5,-10,-54,-178
総数,4,13117,北区,-120,-107,-37,-72,-31,-14,34,0,-21,-22,-42,-63,-495
総数,4,13118,荒川区,-29,-7,-38,-33,-26,21,8,5,12,-22,-37,-21,-167
総数,4,13119,板橋区,-53,-32,-26,71,6,-36,50,76,1,-35,-123,-64,-165
総数,4,13120,練馬区,-31,-79,-16,-22,96,71,79,77,139,83,27,-61,363
総数,4,13121,足立区,-249,-125,-151,-154,-104,-109,6,-114,-47,-101,-137,-144,-1429
総数,4,13122,葛飾区,-112,-143,-92,-64,-78,-28,-39,-59,-58,-39,-51,-101,-864
総数,4,13123,江戸川区,-6,-37,15,13,42,56,92,155,98,82,39,-13,536
総数,1,13200,市部,-556,-602,-531,-248,-170,-64,23,58,-132,-197,-464,-635,-3518
総数,4,13201,八王子市,-115,-169,-120,-84,-78,-123,-116,-64,-58,-88,-124,-155,-1294
総数,4,13202,立川市,-33,-35,-35,-8,-1,16,-18,32,-26,-3,-23,-20,-154
総数,4,13203,武蔵野市,-14,11,-9,27,13,24,20,16,2,22,30,6,148
総数,4,13204,三鷹市,-5,9,2,43,4,3,42,40,27,31,4,5,205
総数,4,13205,青梅市,-122,-85,-52,-64,-50,-57,-27,-57,-53,-70,-51,-73,-761
総数,4,13206,府中市,23,6,-3,18,43,27,44,48,34,25,-2,-22,241
総数,4,13207,昭島市,-21,-33,-17,-1,-21,-4,-25,-9,-12,-7,-37,-19,-206
総数,4,13208,調布市,21,14,20,9,70,45,40,36,19,45,14,3,336
総数,4,13209,町田市,-60,-91,-72,-36,-24,-18,-43,-32,-45,-55,-116,-132,-724
総数,4,13210,小金井市,12,14,-12,7,18,30,25,33,4,20,0,8,159
総数,4,13211,小平市,-18,-4,-39,-5,1,10,14,58,28,-2,5,-16,32
総数,4,13212,日野市,-16,13,2,13,24,8,43,8,12,9,18,2,136
総数,4,13213,東村山市,-39,-36,-46,-44,-34,-30,-1,-27,-39,-60,-57,-42,-455
総数,4,13214,国分寺市,19,-1,7,1,-5,33,24,25,20,18,-8,10,143
総数,4,13215,国立市,-7,-6,-35,2,19,9,11,0,-7,16,-21,-6,-25
総数,4,13218,福生市,-14,-16,-16,-20,-9,-7,-5,-15,-10,-15,-11,-1,-139
総数,4,13219,狛江市,-2,11,8,3,-4,3,9,22,15,19,21,-4,101
総数,4,13220,東大和市,26,-13,-8,-8,-10,7,3,0,-17,-13,10,-5,-28
総数,4,13221,清瀬市,-24,-15,-25,-23,-45,-4,0,-7,1,-18,-40,-29,-229
総数,4,13222,東久留米市,-12,-44,-25,-14,-4,1,-17,-21,-6,-12,-17,-3,-174
総数,4,13223,武蔵村山市,-31,-17,-26,-11,-12,-6,-7,-2,-3,-12,-15,-16,-158
総数,4,13224,多摩市,-29,-9,-29,-2,-32,-6,12,-12,-10,-12,-10,-36,-175
