国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成28年中の転入者数
総数,0,13000,総数,26083,30599,97208,62332,32872,27284,28013,31080,27405,29206,25314,25141,442537
総数,1,13100,区部,20613,23942,72742,45439,25050,21219,21804,23952,20872,22343,19753,19456,337185
総数,1,13200,市部,5402,6566,24246,16607,7729,5988,6116,7047,6446,6754,5502,5608,104011
総数,2,13300,郡部,43,38,112,66,58,32,54,34,45,65,36,43,626
総数,2,13350,島部,25,53,108,220,35,45,39,47,42,44,23,34,715
総数,1,13100,区部,20613,23942,72742,45439,25050,21219,21804,23952,20872,22343,19753,19456,337185
総数,4,13101,千代田区,138,163,604,508,192,174,199,164,178,144,138,192,2794
総数,4,13102,中央区,451,481,1408,889,555,474,511,779,471,557,424,500,7500
総数,4,13103,港区,690,862,1937,1321,732,681,620,732,701,628,573,663,10140
総数,4,13104,新宿区,1005,1076,3252,2183,1133,1054,1029,1156,1090,1019,933,958,15888
総数,4,13105,文京区,579,638,2181,1470,601,525,465,601,537,517,443,497,9054
総数,4,13106,台東区,552,620,1382,923,595,605,510,548,498,564,599,508,7904
総数,4,13107,墨田区,620,724,2097,1111,772,648,653,695,664,648,666,550,9848
総数,4,13108,江東区,937,1107,3303,2114,1205,1057,1043,1235,1057,1199,1028,949,16234
総数,4,13109,品川区,1021,1024,3071,2075,1184,970,1108,1002,979,1046,898,895,15273
総数,4,13110,目黒区,619,794,2209,1388,771,689,703,834,676,679,633,623,10618
総数,4,13111,大田区,1688,1932,6725,3428,2176,1730,1898,1964,1782,1880,1481,1640,28324
総数,4,13112,世田谷区,1954,2349,7446,4649,2204,1958,2068,2207,1869,2019,1971,1796,32490
総数,4,13113,渋谷区,594,680,1564,1256,630,556,579,625,502,544,521,512,8563
総数,4,13114,中野区,868,952,3203,1863,992,837,841,924,823,877,751,730,13661
