国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,平成28年中の増減
総数,0,13000,総数,3904,641,7499,12028,1758,1686,3295,-2016,6370,7963,1027,-2037,42118
総数,1,13100,区部,3605,784,6173,10814,1408,1131,2991,-1280,4981,7197,1017,-1775,37046
総数,1,13200,市部,297,-144,1305,1218,319,541,270,-747,1385,752,-4,-264,4928
総数,2,13300,郡部,1,-1,25,-7,30,3,34,10,0,15,12,5,127
総数,2,13350,島部,1,2,-4,3,1,11,0,1,4,-1,2,-3,17
総数,1,13100,区部,3605,784,6173,10814,1408,1131,2991,-1280,4981,7197,1017,-1775,37046
総数,4,13101,千代田区,54,39,79,49,15,36,-20,7,10,68,21,-76,282
総数,4,13102,中央区,91,73,115,89,48,97,-13,-57,50,67,31,-30,561
総数,4,13103,港区,445,125,178,181,107,-167,-85,236,185,120,82,-297,1110
総数,4,13104,新宿区,562,12,708,2069,83,251,770,-343,1032,1422,131,-120,6577
総数,4,13105,文京区,70,-24,133,307,14,44,30,-105,315,126,8,-91,827
総数,4,13106,台東区,174,46,127,587,84,85,208,-10,72,490,74,27,1964
総数,4,13107,墨田区,104,50,161,214,56,74,96,57,73,172,55,-32,1080
総数,4,13108,江東区,138,12,250,317,123,81,35,-34,103,279,82,-80,1306
総数,4,13109,品川区,117,77,209,93,68,41,-13,-13,106,71,22,-27,751
総数,4,13110,目黒区,4,13,169,237,44,61,-15,-104,196,31,5,-153,488
総数,4,13111,大田区,111,-2,177,345,100,102,161,-141,113,231,8,-84,1121
総数,4,13112,世田谷区,196,24,503,461,173,145,-64,-177,287,298,76,-145,1777
総数,4,13113,渋谷区,121,86,100,111,25,-45,-85,54,143,54,8,-183,389
総数,4,13114,中野区,115,-63,295,565,-10,120,165,-159,196,442,37,-28,1675
総数,4,13115,杉並区,155,-17,389,424,-30,108,36,-238,258,319,39,-61,1382
総数,4,13116,豊島区,250,9,270,1250,58,109,359,-71,335,825,12,-8,3398
総数,4,13117,北区,232,29,247,640,24,95,304,-42,153,500,81,41,2304
総数,4,13118,荒川区,97,-43,123,471,32,74,136,0,114,327,58,-81,1308
総数,4,13119,板橋区,142,72,243,511,104,68,253,-4,184,448,40,13,2074
総数,4,13120,練馬区,31,15,230,380,15,101,105,-147,233,198,-67,-61,1033
総数,4,13121,足立区,127,60,185,220,32,84,198,9,138,161,76,40,1330
総数,4,13122,葛飾区,69,82,171,377,91,125,114,-12,133,236,78,-100,1364
総数,4,13123,江戸川区,200,109,1111,916,152,-558,316,14,552,312,60,-239,2945
総数,1,13200,市部,297,-144,1305,1218,319,541,270,-747,1385,752,-4,-264,4928
総数,4,13201,八王子市,4,-52,244,227,13,153,95,-125,338,84,20,-7,994
総数,4,13202,立川市,17,-13,37,39,33,43,8,10,63,22,7,13,279
総数,4,13203,武蔵野市,19,-28,116,51,28,6,19,-51,28,3,-1,-10,180
総数,4,13204,三鷹市,22,0,115,94,5,-7,-1,41,154,58,-32,-80,369
総数,4,13205,青梅市,8,16,16,20,9,20,11,-43,-6,-31,-32,15,3
総数,4,13206,府中市,-6,-22,53,180,39,32,-35,-68,170,59,15,12,429
総数,4,13207,昭島市,5,7,-5,-75,-14,23,20,-42,4,-8,3,-18,-100
総数,4,13208,調布市,21,-5,91,74,6,65,22,-71,48,22,-13,-17,243
総数,4,13209,町田市,20,4,90,38,30,12,-7,-46,37,55,-8,-10,215
