"年度[西暦]","木造[件]","鉄骨鉄筋コンクリート造[件]","鉄筋コンクリート造[件]","鉄骨造[件]","コンクリートブロック造[件]","その他[件]","合計[件]"
"2018","2","1","9","43","0","0","55"
"2019","5","2","8","31","1","2","49"
"2020","4","1","9","21","0","1","36"
"2021","3","0","11","30","0","1","45"
"2022","1","1","11","29","0","0","42"

"令和5年度港区行政資料集　建築物確認申請件数","Ver202303",,,,,,
