"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2022120101,"赤坂",,0,4,4,29,,,,1,-3,,,,,
2022120102,"赤坂",,1,5,6,27,,,,2,3,,,,,
2022120103,"赤坂",,1,7,8,25,,,,3,-1,,,,,
2022120104,"赤坂",,2,7,9,25,,,,4,0,,,,,
2022120105,"赤坂",,3,10,13,22,,,,2,-2,,,,,
2022120106,"赤坂",,8,14,22,18,,,,4,2,,,,,
2022120107,"赤坂",,13,17,30,16,,,,5,5,,,,,
2022120108,"赤坂",,8,16,24,18,,,,5,2,,,,,
2022120109,"赤坂",,6,15,21,19,,,,3,8,,,,,
2022120110,"赤坂",,5,14,19,19,,,,6,3,,,,,
2022120111,"赤坂",,7,15,22,18,,,,5,-1,,,,,
2022120112,"赤坂",,5,15,20,19,,,,4,1,,,,,
2022120113,"赤坂",,3,13,16,20,,,,6,-2,,,,,
2022120114,"赤坂",,4,14,18,17,,,,7,8,,,,,
2022120115,"赤坂",,10,20,30,12,,,,6,5,,,,,
2022120116,"赤坂",,8,16,24,17,,,,8,2,,,,,
2022120117,"赤坂",,7,19,26,14,,,,7,-1,,,,,
2022120118,"赤坂",,7,25,32,7,,,,8,5,,,,,
2022120119,"赤坂",,10,24,34,6,,,,10,4,,,,,
2022120120,"赤坂",,8,25,33,5,,,,11,5,,,,,
2022120121,"赤坂",,11,26,37,3,,,,11,7,,,,,
2022120122,"赤坂",,8,27,35,3,,,,9,7,,,,,
2022120123,"赤坂",,3,25,28,5,,,,8,9,,,,,
2022120124,"赤坂",,5,22,27,6,,,,10,2,,,,,
2022120201,"赤坂",,5,18,23,6,,,,8,13,,,,,
2022120202,"赤坂",,5,16,21,8,,,,9,13,,,,,
2022120203,"赤坂",,3,13,16,11,,,,7,-3,,,,,
2022120204,"赤坂",,8,16,24,9,,,,6,3,,,,,
2022120205,"赤坂",,5,16,21,10,,,,6,7,,,,,
2022120206,"赤坂",,2,12,14,17,,,,5,6,,,,,
2022120207,"赤坂",,10,15,25,19,,,,4,-1,,,,,
2022120208,"赤坂",,6,16,22,19,,,,3,-2,,,,,
2022120209,"赤坂",,18,20,38,13,,,,5,2,,,,,
