"年月[西暦]","調査項目","設問","話題","選択肢","回答数[人]","構成比[%]"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","内容を詳しく知っている","38","7.4"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","内容を多少知っている","85","16.5"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","言葉は聞いたことがある","124","24.1"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","聞いたこともない","268","52.0"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","無回答","0","0.0"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","内容を詳しく知っている","79","15.3"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","内容を多少知っている","182","35.3"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","言葉は聞いたことがある","97","18.8"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","聞いたこともない","157","30.5"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","無回答","0","0.0"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","内容を詳しく知っている","134","26.0"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","内容を多少知っている","258","50.1"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","言葉は聞いたことがある","85","16.5"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","聞いたこともない","38","7.4"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","無回答","0","0.0"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","内容を詳しく知っている","111","21.6"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","内容を多少知っている","278","54.0"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","言葉は聞いたことがある","94","18.3"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","聞いたこともない","32","6.2"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","無回答","0","0.0"

"港区の環境に関する区民アンケート（Web）調査結果・単純集計表・環境問題への関心Q3","Ver202003",,,,,
