校名,進学者  高等学校入学者男,進学者  高等学校入学者女,進学者  高等学校入学者計,進学者  専修学校等入学者男,進学者  専修学校等入学者女,進学者  専修学校等入学者計,就職者男,就職者女,就職者計,左記以外の者男,左記以外の者女,左記以外の者計,死亡･不詳男,死亡･不詳女,死亡･不詳計,進学者の内数定時制進学者のうち就職している者（再掲）男,進学者の内数定時制進学者のうち就職している者（再掲）女,進学者の内数定時制進学者のうち就職している者（再掲）計,進学者の内数通信制進学者のうち就職している者（再掲）男,進学者の内数通信制進学者のうち就職している者（再掲）女,進学者の内数通信制進学者のうち就職している者（再掲）計,専修学校等の内訳専修学校等入学者のうち就職している者（再掲）男,専修学校等の内訳専修学校等入学者のうち就職している者（再掲）女,専修学校等の内訳専修学校等入学者のうち就職している者（再掲）計,卒業者合計男,卒業者合計女,卒業者合計計
墨田,57,69,126,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57,70,127
本所,81,86,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,86,167
両国,116,100,216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,101,217
竪川,27,23,50,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,29,24,53
錦糸,68,76,144,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,77,145
吾嬬第二,65,38,103,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,65,39,104
寺島,79,62,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,62,141
文花,36,53,89,0,0,0,3,6,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,39,61,100
桜堤,61,56,117,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64,56,120
吾嬬立花,71,79,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,79,150
合計,661,642,1303,1,1,2,3,6,9,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,669,655,1324
