名称,所在地,開園年月日,建物面積[㎡],平成24年学級数,平成24年園児数[人]4歳,平成24年園児数[人]5歳,平成24年園児数[人]計,平成25年学級数,平成25年園児数[人]4歳,平成25年園児数[人]5歳,平成25年園児数[人]計,平成26年学級数,平成26年園児数[人]4歳,平成26年園児数[人]5歳,平成26年園児数[人]計,平成27年学級数,平成27年園児数[人]4歳,平成27年園児数[人]5歳,平成27年園児数[人]計,平成28年学級数,平成28年園児数[人]4歳,平成28年園児数[人]5歳,平成28年園児数[人]計
緑,緑2-11-5,昭44.4.1,472,2,35,35,70,2,34,33,67,2,35,35,70,2,35,33,68,2,24,34,58
柳島,横川5-2-30,昭46.4.1,451,2,35,35,70,2,35,33,68,2,31,35,66,2,23,34,57,2,33,26,59
菊川,立川4-12-15,昭48.4.1,427,2,31,27,58,2,29,30,59,2,28,34,62,2,26,31,57,2,24,27,51
第三寺島,東向島6-8-1,昭44.4.1,414,2,13,28,41,2,22,14,36,2,29,28,57,2,25,29,54,2,19,27,46
曳舟,京島1-28-2,昭48.4.1,628,2,19,34,53,2,35,21,56,2,31,35,66,2,29,32,61,2,23,28,51
八広,八広5-12-15,昭46.4.1,624,2,33,33,66,2,30,33,63,2,33,32,65,2,35,35,70,2,29,33,62
立花,立花1-25-9,昭50.4.1,1084,2,22,33,55,2,35,23,58,2,35,35,70,2,35,34,69,2,19,34,53
合計,７園,,4100,14,188,225,413,14,220,187,407,14,222,234,456,14,208,228,436,14,171,209,380
