施設名,,面数等,利用状況,平成23年度利用件数,平成24年度利用件数,平成25年度利用件数,平成26年度利用件数,平成27年度利用コマ数
野球場・競技場,錦糸公園野球場,野球場2（ナイター有）,,1833,2577,2857,2940,2611
野球場・競技場,錦糸公園野球場,競技場1（ナイター有）,,12,25,45,40,184
野球場・競技場,八広野球場,野球場1(H10年11月までは2面),,455,491,513,445,739
野球場・競技場,墨田野球場,野球場5,,1866,2026,1972,2180,3084
野球場・競技場,墨田競技場,競技場2,,6,0,0,0,0
野球場・競技場,荒川四ッ木橋緑地野球場,野球場2,,728,723,891,894,1125
野球場・競技場,荒川四ッ木橋緑地競技場,陸上競技場,,313,352,445,415,486
野球場・競技場,鐘淵競技場※,競技場,,,,,,
野球場・競技場,鐘淵野球場,野球場,,353,467,442,358,168
野球場・競技場,鐘淵球技場,球技場,,945,833,847,576,290
野球場・競技場,荒川四ッ木橋緑地球技場,球技場1(サッカー場）,,722,845,842,771,875
野球場・競技場,荒川四ツ木橋緑地少年サッカー場,球技場2(8･9年度は1面),,798,719,749,710,1386
野球場・競技場,江戸川河川敷野球場,野球場3,,738,771,722,695,676
野球場・競技場,墨田五丁目運動広場,少年野球場･少年サッカー場（兼用1面）,野球場,348,331,270,125,143
野球場・競技場,墨田五丁目運動広場,少年野球場･少年サッカー場（兼用1面）,ｻｯｶｰ場,52,54,56,55,57
野球場・競技場,東墨田一丁目運動広場,ソフトボール場1,,230,205,229,210,224
野球場・競技場,東墨田ゲートボール場,ゲートボール場4,,,,,,
少年野球場,荒川四ッ木橋緑地少年野球場,野球場4（H10年度までは3面）,,1896,1836,1643,1501,2776
少年野球場,隅田公園少年野球場,野球場1,,601,535,419,412,720
少年野球場,東墨田公園少年野球場,野球場2,,1004,931,913,884,1571
庭球場,錦糸公園テニスコート,4面(ナイター有),,8272,9135,9361,9426,16789
庭球場,緑町公園テニスコート,1面,,1413,1340,1371,1304,754
庭球場,堤通公園テニスコート,2面(ナイター有),,3192,3062,2975,3150,3618
庭球場,文花テニスコート,3面(ナイター有),,3475,3728,3720,3681,6486
庭球場,東墨田テニスコート,2面,,1634,1529,1718,1704,3032
庭球場,大横川親水公園テニスコート,2面,,2962,3241,3460,3387,5405
弓道場,墨田区弓道場,和(洋)弓近的　6人立,個人,2083,1865,1878,1995,2057
弓道場,墨田区弓道場,和(洋)弓近的　6人立,団体,215,230,211,196,203
弓道場,墨田区弓道場,和(洋)弓近的　6人立,計,2298,2095,2089,2191,2260
