区分,,ひきふね,緑,立花,八広,東駒形コミュニティ会館図書室,梅若橋コミュニティ会館図書室,横川コミュニティ会館図書室,すみだ女性センター,計
図書資料[冊],一般図書,236600,82245,34482,50353,56081,50256,71425,8513,589955
図書資料[冊],児童図書,61383,32199,27501,26666,20929,20785,28650,733,218846
図書資料[冊],計,297983,114444,61983,77019,77010,71041,100075,9246,808801
視聴覚資料[点],CD,6094,3392,3302,2531,2578,3330,3159,0,24386
視聴覚資料[点],ビデオ,189,2,0,0,0,169,255,0,615
視聴覚資料[点],その他,1327,459,544,294,310,349,402,0,3685
視聴覚資料[点],計,7610,3853,3846,2825,2888,3848,3816,0,28686
