区分,平成23年小学校,平成23年中学校,平成23年中学校(夜間),平成24年小学校,平成24年中学校,平成24年中学校(夜間),平成25年小学校,平成25年中学校,平成25年中学校(夜間),平成26年小学校,平成26年中学校,平成26年中学校(夜間),平成27年小学校,平成27年中学校,平成27年中学校(夜間)
要保護,222,151,8,213,151,11,203,152,10,177,144,11,187,147,3
準要保護,2881,1629,21,2767,1568,22,2712,1657,16,2597,1604,14,2422,1531,14
特別支援学級,119,27,0,106,24,0,97,26,0,89,24,0,87,27,0
計,3222,1807,29,3086,1743,33,3012,1835,26,2863,1772,25,2696,1705,17
