名称,所　在　地,開設年月日,敷地面積(㎡),建物面積(㎡),備考
ひきふね図書館,京島1－36－5,平25.4.1,,3393,座席数  177
緑図書館,緑2－24－5,昭32.12.17,677,1557,座席数　178
立花図書館,立花6－8－1－101,昭55.6.18,,756,座席数　30
八広図書館,八広5－10－1－104,昭55.10.1,,1007,座席数　70､ホール(体育室)､集会室(和室12畳2室､板の間48㎡)
東駒形ｺﾐｭﾆﾃｨ会館,東駒形4－14－1,昭57.10.1,図書室面積611㎡（37席）,,
梅若橋ｺﾐｭﾆﾃｨ会館,堤通2－9－1,昭63.10.1,図書室面積544㎡（53席）,,
横川ｺﾐｭﾆﾃｨ会館,横川5－9－1,平7.10.1,図書室面積710㎡（76席）,,
すみだ女性センター,押上2－12－7－111,平2.7.27,情報資料コーナー面積82㎡（17席）,,
