区分,施設名,平成23年度開放日数,平成23年度利用人員[延べ],平成24年度開放日数,平成24年度利用人員[延べ],平成25年度開放日数,平成25年度利用人員[延べ],平成26年度開放日数,平成26年度利用人員[延べ],平成27年度開放日数,平成27年度利用人員[延べ]
バレーボール,錦糸中,29,629,36,693,36,543,37,592,36,615
バドミントン,竪川中,39,739,43,800,38,583,43,723,44,932
バドミントン,旧向島中,40,864,44,726,32,373,44,805,44,957
バドミントン,吾嬬二中,,,,,44,523,44,535,23,254
バドミントン,吾嬬立花中,39,589,40,620,38,465,32,353,43,555
バスケットボール,寺島中,41,784,48,865,49,995,44,786,43,803
バスケットボール,旧曳舟中,42,517,46,684,,,,,,
バスケットボール,両国中,,,,,,,,,,
ソフトテニス,寺島中　昼間,27,317,27,257,31,250,24,149,27,184
ソフトテニス,寺島中　夜間,21,187,24,128,,,,,,
硬式テニス,旧曳舟中,33,392,37,592,,,,,,
硬式テニス,寺島中,,,,,34,290,26,206,34,254
軽運動,墨田中,39,745,42,652,40,617,43,660,38,585
卓球,旧吾嬬一中,30,422,35,498,34,546,32,599,37,677
