,所在地,開設年月日,敷地面積[㎡],延床面積[㎡],,平成23年度利用状況[人] ,平成24年度利用状況[人] ,平成25年度利用状況[人] ,平成26年度利用状況[人] ,平成27年度利用状況[人] 
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,ホール,61000,62000,67800,64600,63000
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,ドーム,,,,,12636
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,リハーサル室,8545,10290,8260,9200,10740
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,陶芸室,4980,5268,5424,5460,5640
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,創作活動室1,8520,8592,7672,6932,6584
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,創作活動室2,6210,6180,5286,5220,5780
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,研修室1,19515,19812,15012,18072,16076
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,研修室2,8244,8790,8808,8664,8724
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,研修室3,11021,12293,10796,10890,10684
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,和室1,18450,16485,17370,18690,18086
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,和室2,11535,10035,12300,13140,11430
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,視聴覚室,11955,13659,10005,12026,10614
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,音楽スタジオ,7504,7716,7200,6792,6690
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,視聴覚スタジオ,7131,8143,6769,7414,8359
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,編集調整室,3492,3744,3936,4320,4690
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,視聴覚コーナー,32167,28761,30348,29472,29065
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,メディアコーナー,28573,26672,24267,22520,22914
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,プラネタリウム,26004,26860,,,
本館,東向島2-38-7,平6.12.11,3400.06,8448.56,合計,274846,275300,241253,243412,251712
別館,東向島2-28-5,昭37.9.1,718.48,819.77,講習室A,20785,20750,19316,19645,18339
別館,東向島2-28-5,昭37.9.1,718.48,819.77,講習室B,22435,21620,19667,20247,19665
別館,東向島2-28-5,昭37.9.1,718.48,819.77,講習室C,5894,5857,5843,6151,5920
別館,東向島2-28-5,昭37.9.1,718.48,819.77,多目的室,25015,25150,24567,22988,20995
別館,東向島2-28-5,昭37.9.1,718.48,819.77,音楽室,3756,4116,4458,4734,4410
別館,東向島2-28-5,昭37.9.1,718.48,819.77,茶室,5370,5525,5656,5120,5500
別館,東向島2-28-5,昭37.9.1,718.48,819.77,和室,9407,10025,10073,9549,9750
別館,東向島2-28-5,昭37.9.1,718.48,819.77,長寿室,2216,1923,1776,1949,1712
別館,東向島2-28-5,昭37.9.1,718.48,819.77,合計,94878,94966,91356,90383,86291
