学校名,平成27年度開放日数[延],平成27年度利用人数[延],平成27年度社教団体への開放数[人]
緑小学校,2140,49347,7153
外手小学校,752,22656,2940
二葉小学校,783,21754,4674
錦糸小学校,436,12144,4627
中和小学校,681,16660,3890
言問小学校,453,7133,1855
小梅小学校,711,22731,4559
柳島小学校,664,16367,6881
業平小学校,503,16907,5767
両国小学校,1057,25241,5346
横川小学校,972,34699,4978
菊川小学校,566,17659,3327
第三吾嬬小学校,740,19203,3063
第四吾嬬小学校,734,18565,5295
第一寺島小学校,643,15322,4317
第二寺島小学校,813,18569,3564
第三寺島小学校,568,16596,5605
曳舟小学校,259,4775,2189
梅若小学校,432,9462,5472
中川小学校,828,22300,815
東吾嬬小学校,876,29255,6121
押上小学校,974,34792,9497
八広小学校,1280,40443,7061
隅田小学校,510,15792,4558
立花吾嬬の森小学校,662,25989,3111
墨田中学校,954,23826,8136
本所中学校,662,14943,4828
両国中学校,1084,30881,9956
竪川中学校,598,9173,4491
錦糸中学校,371,6368,4608
吾嬬立花中学校,323,5248,1960
吾嬬第二中学校,308,6710,5230
寺島中学校,1128,23518,11308
文花中学校,99,1259,400
桜堤中学校,650,16417,2080
旧木下川小学校,320,7773,0
旧隅田小学校,1322,28563,8318
旧向島中学校,2287,47515,6900
旧吾嬬第一中学校,429,10339,3482
旧鐘淵中学校,1095,23905,4491
