学校名,開校年月日,教員数[人],職員数[人],普通学級数,特別支援学級数,普通学級生徒数,特別支援学級生徒数,校地面積[㎡],生徒一人当たり校地面積[㎡],運動場 舗装状態及び舗装年度,運動場面積[㎡],校舎改築年度,校舎面積[㎡],生徒一人当たり校舎面積[㎡」,普通教室数,特別教室数,体育館改築年度,体育館面積[㎡],プール改築年度,プール[m],機械警備校,給食調理業務民間委託校
墨田,昭22.5.10,26,2,11,3,381,20,6508,16.2,C平22,4395,平22,7417,18.5,13,16,昭55,869,昭40,25×10,○,○
本所,昭22.5.10,29,2,14,2,484,14,5521,11.1,C平3,3230,昭48,4750,9.5,16,15,昭47,659,昭47,25×12,○,○
両国,昭22.5.10,34,2,18,,659,,8116,12.3,G平19,2941,平18,8222,12.5,18,16,平12,1907,平11,25×15,○,○
竪川,昭22.5.10,20,2,7,1,209,7,7181,33.2,C昭63,2352,昭50,4964,23,9,17,昭51,707,昭62,25×12,○,○
錦糸,昭29.4.1,25,4,12,,395,,6336,16,C昭63,1840,昭50,6001,15.2,12,22,昭46,819,昭51,25×11,○,○
吾嬬第二,昭22.5.10,22,4,10,1,336,6,8690,25.4,C平16,2691,昭40,4649,13.6,10,17,昭62,1049,昭58,25×11,○,○
寺島,昭25.4.1,32,5,12,4,397,31,8286,19.4,C平2,3186,昭45,5247,12.3,16,18,昭54,2109,昭45,25×11,○,○
文花,平11.4.1,35,6,12,(5),376,(55),9033,26.6,C平14,2963,平14,5976,15.6,12,30,昭63,1036,昭63,25×11,○,○
桜堤,平25.4.1,25,2,11,①,380,③,13003,34,C平24,8964,平24,6845,17.9,11,23,平24,1001,平24,25×12,○,○
吾嬬立花,平26.4.1,31,2,12,③,394,?,9004,21.6,G平18,2459,昭58,4490,10.8,12,17,昭58,836,昭58,25×12,○,○
中学校計,,279,31,119,11④(5),4011,78 ? (55) ,81678,,,35021,,58561,,129,191,,10992,,,,
区平均,,27.9,3.1,11.9,2,401.1,16.6,8167.8,21.6,,3502.1,,5856.1,14.9,12.9,19.1,,1099.2,,,,
