学校名,開校年月日,教員数[人],職員数[人],普通学級数,特別支援学級数,普通学級児童数,特別支援学級児童数,校地面積[㎡],児童一人当たり校地面積[㎡],,,運動場 舗装状態及び舗装年度,運動場面積[㎡],校舎改築年度,校舎面積[㎡],児童一人当たり校舎面積[㎡],普通教室数,特別教室数,体育館改築年度,体育館面積[㎡],プール改築年度,プール[m],機械警備校,給食調理業務民間委託校
緑,明45.6.15,28,1,15,2,445,9,4535,10,10.0,,C平14,1306,昭62,4646,10.2,16,16,昭62,740,昭62,25×10,○,○
外手,大5.5.17,24,1,12,2,370,11,3901,10.2,10.2,,C平7,936,昭55,4806,12.6,14,13,昭54,721,昭55,25×10,○,○
二葉,明38.11.27,27,4,18,,590,,4917,8.3,8.3,,C平1,1575,昭51,4918,8.3,18,10,昭51,626,昭50,25×10,○,○
錦糸,大7.11.1,26,3,9,,230,81,3949,12.7,12.7,,C平13,960,昭48,4415,14.2,9,14,昭47,530,昭48,25×8,○,○
中和,明8.9.22,17,3,8,1,213,7,3907,17.8,17.8,,C平3,1320,昭48,3474,15.8,10,10,昭48,642,昭62,25×9,○,○
言問,昭12.2.1,23,1,9,④,231,45,6386,23.1,23.1,,C平14,2470,昭11,4522,16.4,9,17,昭11,500,昭46,25×7,○,○
小梅,大9.5.22,19,2,12,,301,,4522,15,15.0,,C平16,1359,昭48,4896,16.3,12,12,昭51,708,昭47,20×10,○,○
柳島,明31.9.29,32,2,18,②,537,27,8473,15,15.0,,C平4,2603,昭56,5650,10,18,14,昭56,755,昭56,25×10,○,○
業平,大7.3.1,25,4,13,3,382,18,5179,12.9,12.9,,C平3,1797,昭52,4785,12,15,15,昭52,654,昭52,25×10,○,○
両国,明8.10.18,25,2,17,,515,,5011,9.7,9.7,,C平12,1426,昭50,4279,8.3,17,10,昭45,738,昭51,25×9,○,○
横川,明35.12.20,23,,15,,464,,6406,13.8,13.8,,C昭63,2947,昭50,3903,8.4,15,8,昭48,576,昭50,25×8,○,○
菊川,明45.4.1,21,1,12,,362,,3648,10.1,10.1,,D平14,1100,昭58,4363,12.1,12,13,昭58,675,昭58,25×8,○,○
第三吾嬬,明8.4.13,23,2,17,,497,,8797,17.7,17.7,,C平2,4347,昭45,4825,9.7,17,11,平1,952,昭61,25×10,○,○
第四吾嬬,昭2.6.20,19,,6,5,144,35,8002,44.7,44.7,,C平1,2463,昭33,4989,27.9,11,17,平17,917,昭51,25×10,○,○
第一寺島,明12.10.12,24,3,15,2,422,10,6707,15.5,15.5,,C平12,2797,昭47,4517,10.5,18,9,昭44,571,昭38,20×10,○,○
第二寺島,大13.4.20,27,2,17,2,545,14,10394,18.6,18.6,,G平20,3304,昭45,5306,9.5,19,14,昭42,550,平5,25×10,○,○
第三寺島,昭3.12.16,22,1,9,,237,38,6614,24.1,24.1,,C平2,1716,昭48,4562,16.6,9,12,昭48,619,昭41,20×10,○,○
曳舟,昭9.5.26,19,1,12,,353,,7141,20.2,20.2,,G平19,2229,昭43,4003,11.3,12,9,昭43,610,昭44,25×10,○,○
中川,昭26.5.16,19,1,8,,202,36,4925,20.7,20.7,,C平2,1654,昭42,3514,14.8,8,11,昭41,502,平1,25×10,○,○
東吾嬬,昭31.6.27,20,2,12,,320,,7707,24.1,24.1,,C平4,3274,昭44,3481,10.9,12,8,平3,1388,平1,25×10,○,○
押上,平11.4.1,27,1,16,①,484,15,6218,12.5,12.5,,C平18,1828,平12,6145,12.3,16,13,平6,857,平6,25×10,○,○
八広,平15.4.1,26,2,18,,589,,10222,17.4,17.4,,C平15,3655,平14,5556,9.4,18,11,昭42,549,平4,25×10,○,○
隅田,平17.4.1,25,1,14,1,442,6,10399,23.2,23.2,,G平20,4034,平20,5560,12.4,15,11,平4,1456,平4,25×10,○,○
立花吾嬬の森,平20.4.1,18,,12,,358,,7052,19.7,19.7,,G平20,2006,平4,4222,11.8,12,11,平4,1242,平4,25×10,○,○
梅若,平23.4.1,28,2,12,(1),310,(25),7522,23.1,23.1,,G平２３,2503,平22,5148,15.8,12,16,平19,954,平22,25×10,○,○
小学校計,,587,42,326, 18  ⑦  (1),9543,110  242  (25),162534,,,,,55609,,116485,,344,305,,19032,,,,
区平均,,23.2,1.7,13.04,1.7,381.72,15.1,6501.4,17.6,17.6,,,2224.4,,4659.4,12.7,13.76,12.2,761.28,,,,,
