施設名,,所在地,開設年月日,延床/敷地面積,運営
体育館・プール等,立花体育館,立花1-25-10,平23.4.1,2384.11,
体育館・プール等,総合体育館,錦糸4-15-1,平22.4.1,19837,指定管理者　　すみだスポーツサポートPFI（株）
体育館・プール等,体育館,錦糸4-15-1,昭42.4.1,3551.78,
体育館・プール等,錦糸公園プール,錦糸4-15-1,昭40.4.1(移管),,
体育館・プール等,屋内プール体育館,向島5-6-13,昭49.7.13,2967.63,
体育館・プール等,両国屋内プール,横網1-8-1,平11.8.11,4552.93,指定管理者　　（株）コナミスポーツ＆ライフ
体育館・プール等,スポーツプラザ梅若,墨田1-4-4,平12.4.22,1998,指定管理者　　（株）コナミスポーツ＆ライフ
体育館・プール等,荒川緑地ﾌｨｰﾙﾄﾞﾊｳｽ,墨田4-32-10,昭60.4.1,228.07,
体育館・プール等,錦糸公園内ﾌｨｰﾙﾄﾞﾊｳｽ,錦糸4-15-1,昭40.4.1,602.26,
野球場・競技場,錦糸公園野球場,錦糸4-15-1,昭40.4.1(移管),118800,
野球場・競技場,八広野球場,八広6丁目荒川河川敷,昭35.3.1,4875,
野球場・競技場,墨田野球場,墨田4丁目荒川河川敷,昭49.4.1,29150,
野球場・競技場,墨田競技場,墨田4丁目荒川河川敷,昭49.4.1,29150,
野球場・競技場,荒川四ッ木橋緑地野球場,墨田4・5丁目荒川河川敷,昭50.4.1(移管),12973.7,
野球場・競技場,荒川四ッ木橋緑地競技場,墨田4・5丁目荒川河川敷,昭50.4.1(移管),9356.6,
野球場・競技場,鐘淵競技場※,墨田5丁目荒川河川敷,平15.3.7,18229.69,
野球場・競技場,鐘淵野球場,墨田5丁目荒川河川敷,平18.8.1,9479.69,
野球場・競技場,鐘淵球技場,墨田5丁目荒川河川敷,平18.8.1,8750,
野球場・競技場,荒川四ッ木橋緑地球技場,墨田5丁目荒川河川敷,昭49.4.1,8802.8,
野球場・競技場,荒川四ツ木橋緑地少年サッカー場,東墨田３丁目荒川河川敷,昭62.4.1　平28.4.3（移設),"33,323.00（荒川四ッ木橋緑地少年野球場含む）",
野球場・競技場,江戸川河川敷野球場,埼玉県三郷市新和四丁目先,昭42.7.15,25545.85,
野球場・競技場,墨田五丁目運動広場,墨田5-16,平11.4.1,15622.49,
野球場・競技場,東墨田一丁目運動広場,東墨田1-10,平11.4.1,4855,
野球場・競技場,東墨田ゲートボール場,東墨田1-10,平10.10,7474.74,
少年野球場,荒川四ッ木橋緑地少年野球場,東墨田３丁目荒川河川敷,昭51.4.1　平28.4.3（移設),33323（荒川四ツ木橋緑地少年サッカー場含む）,
少年野球場,隅田公園少年野球場,向島5-5-21,昭51.5.1,3311.9,
少年野球場,東墨田公園少年野球場,東墨田3-4-14,平10.7.1,6038,
庭球場,錦糸公園テニスコート,錦糸4-15-1,昭40.4.1(移管),2616.5,
庭球場,緑町公園テニスコート,亀沢2-7-7,昭25.11.1,2466.1,
庭球場,堤通公園テニスコート,堤通1-8-1,昭49.4.1,1361.6,
庭球場,文花テニスコート,文花1-19-12,昭39.4.1,2579,
庭球場,東墨田テニスコート,東墨田3-19-6,昭59.4.1,1317,
庭球場,大横川親水公園テニスコート,緑4-22,平22.1.4,1254.2,
弓道場,墨田区弓道場,江東橋4-1-3,昭49.3.1,1231.95(延床面積 326.85),
