区分,小学校平成24年,小学校平成25年,小学校平成26年,小学校平成27年,小学校平成28年,中学校平成24年,中学校平成25年,中学校平成26年,中学校平成27年,中学校平成28年
学校数[校],25,25,25,25,25,12,11,10,10,10
学級数,350,355,361,366,351,134,136,136,135,139
児童生徒数[人],9347,9445,9462,9555,9653,4034,4055,4087,4073,4151
教員数[人],559,554,565,586,587,285,279,274,274,279
