施設名,,面数等,利用状況,平成23年度利用件数,平成24年度利用件数,平成25年度利用件数,平成26年度利用件数,平成27年度利用件数
体育館・プール等,立花体育館,体育館,個人,257,423,219,501,467
体育館・プール等,立花体育館,,団体,349,571,402,638,756
体育館・プール等,総合体育館,プール(大小),個人,96471,101660,106821,106266,111435
体育館・プール等,総合体育館,トレーニング室,個人,70306,76969,85038,93681,107270
体育館・プール等,総合体育館,アリーナ,個人,17168,17959,18484,16943,19216
体育館・プール等,総合体育館,ランニングコース,個人,10089,11489,12317,12965,12899
体育館・プール等,総合体育館,多目的競技場,個人,3608,3380,2475,3102,3780
体育館・プール等,総合体育館,武道場,個人,5891,5585,5391,6702,7051
体育館・プール等,総合体育館,共通券Ａ/Ｂ,個人,2282,2565,2792,2707,3439
体育館・プール等,総合体育館,月額定期利用者,個人,65069,65051,115364,112447,111292
体育館・プール等,総合体育館,スクール関係利用者,個人,37940,45173,54459,54785,57456
体育館・プール等,総合体育館,"アリーナ・武道場・
屋上施設・会議室",団体,5914,6256,6528,6254,6531
体育館・プール等,総合体育館,"アリーナ・武道場・
屋上施設・会議室",（内訳人数）,125071,133968,135575,135237,129588
体育館・プール等,総合体育館,合計,個人,308824,329831,403141,409598,433838
体育館・プール等,総合体育館,合計,団体,5914,6256,6528,6254,6531
体育館・プール等,総合体育館,合計,（内訳人数）,125071,133968,135575,135237,129588
体育館・プール等,総合体育館,合計,計,433895,463799,538716,544835,563426
体育館・プール等,体育館,競技場,個人,,,,,
体育館・プール等,体育館,競技場,団体,,,,,
体育館・プール等,体育館,競技場,計,,,,,
体育館・プール等,体育館,柔道場,団体,,,,,
体育館・プール等,体育館,剣道場,団体,,,,,
体育館・プール等,体育館,合計,個人,,,,,
体育館・プール等,体育館,合計,団体,,,,,
体育館・プール等,体育館,合計,計,,,,,
体育館・プール等,錦糸公園プール,25mプール1、幼児プール2,延利用人数,,,,,
体育館・プール等,屋内プール体育館,体育室2,個人,,,,,
体育館・プール等,屋内プール体育館,体育室3,団体,,,,,
体育館・プール等,屋内プール体育館,体育室4,計,,,,,
体育館・プール等,屋内プール体育館,プール(大小),個人,,,,,
体育館・プール等,屋内プール体育館,プール(大小),団体,,,,,
体育館・プール等,屋内プール体育館,プール(大小),計,,,,,
体育館・プール等,屋内プール体育館,会議室２,団体,,,,,
体育館・プール等,屋内プール体育館,合計,個人,,,,,
体育館・プール等,屋内プール体育館,合計,団体,,,,,
体育館・プール等,屋内プール体育館,合計,計,,,,,
体育館・プール等,両国屋内プール,温水プール,個人,44973,53353,37537,44680,47461
体育館・プール等,両国屋内プール,温水プール,団体,18999,17650,11827,19710,20869
体育館・プール等,両国屋内プール,温水プール,計,63972,71003,49364,64390,68330
体育館・プール等,スポーツプラザ梅若,体育館,個人,5537,5931,6954,7930,8320
体育館・プール等,スポーツプラザ梅若,体育館,団体,7919,8001,9731,10055,10453
体育館・プール等,スポーツプラザ梅若,体育館,計,13456,13932,16685,17985,18773
体育館・プール等,スポーツプラザ梅若,ﾄﾚｰﾆﾝｸﾞ室,個人,20068,22309,23349,25185,27110
体育館・プール等,スポーツプラザ梅若,合計,個人,25605,28240,30303,33115,35430
体育館・プール等,スポーツプラザ梅若,合計,団体,7919,8001,9731,10055,10453
体育館・プール等,スポーツプラザ梅若,合計,計,33524,36241,40034,43170,45883
体育館・プール等,荒川緑地ﾌｨｰﾙﾄﾞﾊｳｽ,集会室,,44,44,32,26,13
体育館・プール等,錦糸公園内ﾌｨｰﾙﾄﾞﾊｳｽ,集会室,,,,,,
