区分,,平成24年,平成25年,平成26年,平成27年,平成28年
区立幼稚園,4歳[人],188,220,222,208,171
区立幼稚園,5歳[人],225,187,234,228,209
区立幼稚園,計[人],413,407,456,436,380
私立幼稚園,3歳[人],485,444,469,443,442
私立幼稚園,4歳[人],468,479,458,454,446
私立幼稚園,5歳[人],477,457,465,451,447
私立幼稚園,計[人],1430,1380,1392,1348,1335
合計[人],,1843,1787,1848,1784,1715
区立小学校,1年[人],1546,1638,1598,1651,1709
区立小学校,2年[人],1490,1531,1641,1608,1648
区立小学校,3年[人],1594,1489,1541,1644,1595
区立小学校,4年[人],1578,1586,1493,1536,1652
区立小学校,5年[人],1612,1583,1601,1508,1536
区立小学校,6年[人],1527,1618,1588,1608,1513
合計[人],,9347,9445,9462,9555,9653
区立中学校,1年[人],1329,1298,1384,1339,1337
区立中学校,2年[人],1385,1360,1323,1402,1385
区立中学校,3年[人],1320,1397,1380,1332,1429
区立中学校,計[人],4034,4055,4087,4073,4151
都立中学校,計[人],356,357,373,360,
私立中学校,計[人],939,891,967,980,
合計[人],,5329,5303,5427,5413,4151
都立高校,全･定時制[人],3729,3737,3778,3802,
私立高校,全日制[人],1953,1797,1973,2054,
合計[人],,5682,5534,5751,5856,0
専修学校,校数[校],8,9,8,8,9
各種学校,校数[校],4,4,4,4,4
