区分,区立平成24年,区立平成25年,区立平成26年,区立平成27年,区立平成28年,私立平成24年,私立平成25年,私立平成26年,私立平成27年,私立平成28年,計平成24年,計平成25年,計平成26年,計平成27年,計平成28年
園数(園),7,7,7,7,7,8,8,8,8,8,15,15,15,15,15
組数(組),14,14,14,14,14,50,49,50,50,50,64,63,64,64,64
園児数(人),413,407,456,436,380,1430,1380,1392,1348,1335,1843,1787,1848,1784,1715
教員数(人),21,21,23,23,23,77,76,81,86,91,98,97,104,109,114
職員数(人),2,0,0,0,0,20,21,19,18,19,22,21,19,18,19
