学校名,開園年月日,教員数[人],職員数[人],学級数4歳,学級数5歳,園児数4歳,園児数5歳,園舎面積[㎡],教室数保育,教室数遊戯
緑,昭44.4.1,4,0,1,1,24,34,472,2,1
柳島,昭46.4.1,3,0,1,1,33,26,451,2,1
菊川,昭48.4.1,3,0,1,1,24,27,427,2,1
第三寺島,昭44.4.1,3,0,1,1,19,27,414,2,1
曳舟,昭48.4.1,3,0,1,1,23,28,628,2,1
八広,昭46.4.1,3,0,1,1,29,33,624,2,1
立花,昭50.4.1,4,0,1,1,19,34,1084,2,1
幼稚園計,,23,0,7,7,171,209,4100,14,7
区平均,,3.29,0,1,1,24.43,29.86,585.71,2,1
