"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別","客室数総計[室]","客室定員総計[人]"
"202404","Ａｋａｓａｋａ　Ｇｕｅｓｔｈｏｕｓｅ　ＨＩＶＥ","107-0052","東京都港区赤坂二丁目7番2号","赤坂RSビル1～4階","2024/4/17","5港み生環き第282号","簡易宿所営業","3","40"
"202404","Ｈｏｔｅｌ　ＭＡＤＯ　Ｎｉｓｈｉａｚａｂｕ","106-0031","東京都港区西麻布二丁目10番9号",,"2024/4/22","5港み生環き第275号","旅館・ホテル営業","4","14"
"202404","Ｓｍａｌｌ　ｖｉｌｌａ　ｔｏｋｙｏ","107-0062","東京都港区南青山二丁目10番14号",,"2024/4/30","5港み生環き第281号","旅館・ホテル営業","1","6"
"202405","Ｔｏｋｙｏ　Ｓｈｉｍｂａｓｈｉ　５７９","105-0004","東京都港区新橋五丁目7番9号","201","2024/5/15","5港み生環き第264号","旅館・ホテル営業","1","2"
"202405","Ｔｏｋｙｏ　Ｓｈｉｍｂａｓｈｉ　５７９","105-0004","東京都港区新橋五丁目7番9号","202","2024/5/15","5港み生環き第265号","旅館・ホテル営業","1","2"
"202405","Ｔｏｋｙｏ　Ｓｈｉｍｂａｓｈｉ　５７９","105-0004","東京都港区新橋五丁目7番9号","301","2024/5/15","5港み生環き第266号","旅館・ホテル営業","1","2"
"202405","Ｔｏｋｙｏ　Ｓｈｉｍｂａｓｈｉ　５７９","105-0004","東京都港区新橋五丁目7番9号","302","2024/5/15","5港み生環き第267号","旅館・ホテル営業","1","2"
"202405","Ｔｏｋｙｏ　Ｓｈｉｍｂａｓｈｉ　５７９","105-0004","東京都港区新橋五丁目7番9号","401","2024/5/15","5港み生環き第268号","旅館・ホテル営業","1","2"
"202405","Ｔｏｋｙｏ　Ｓｈｉｍｂａｓｈｉ　５７９","105-0004","東京都港区新橋五丁目7番9号","402","2024/5/15","5港み生環き第269号","旅館・ホテル営業","1","2"
"202405","セレンテ芝３","105-0014","東京都港区芝三丁目32番9号","006","2024/5/16","6港み生環き第20号","旅館・ホテル営業","1","6"
"202405","クレア芝公園","105-0014","東京都港区芝二丁目18番8号","101","2024/5/27","6港み生環き第19号","簡易宿所営業","1","5"
"202405","ＭＸ　Ｈｏｔｅｌ　Ｒｏｐｐｏｎｇｉ","106-0032","東京都港区六本木七丁目11番24号",,"2024/5/30","5港み生環き第254号","旅館・ホテル営業","1","7"
"202405","ＡＩＲ　ＳＴＡＹ　南麻布","106-0047","東京都港区南麻布二丁目13番21号","ライワマンション南麻布502号室","2024/5/30","5港み生環き第283号","旅館・ホテル営業","1","4"
"202406","Ｔｏｋｙｏ　Ｔｒａｄｉｔｉｏｎａｌ　Ｓｔａｙ","108-0073","東京都港区三田四丁目3番13号",,"2024/6/19","5港み生環き第211号","旅館・ホテル営業","1","12"
"202406","ＮＥＯ　ＴＯＫＹＯ　ＡＲＫ","107-0052","東京都港区赤坂三丁目19番9号","一ツ木ビル本館3階A","2024/6/20","6港み生環き第23号","旅館・ホテル営業","1","10"
"202406","Ｔｉｍｅ　Ｃａｍｐ高輪","108-0074","東京都港区高輪三丁目10番38号","Time Camp高輪 2階","2024/6/24","5港み生環き第276号","旅館・ホテル営業","1","2"
"202406","ＳＴＵＤＩＯ　ＷＨＩＴＥ（スタジオ　ホワイト）","106-0032","東京都港区六本木六丁目11番17号","第2竹皮屋ビル6階","2024/6/24","6港み生環き第31号","旅館・ホテル営業","1","6"
"202406","ＳＴＵＤＩＯ　ＢＬＵＥ（スタジオ　ブルー）","106-0032","東京都港区六本木六丁目11番17号","第2竹皮屋ビル5階","2024/6/24","6港み生環き第32号","旅館・ホテル営業","1","7"
"202407","ＨＯＴＥＬ　Ｃｔｒｌ＋Ｄ","105-0004","東京都港区新橋五丁目1番5号","ル・グラシエルBLDG.11　6階、7階","2024/7/9","6港み生環き第45号","旅館・ホテル営業","1","4"
"202407","わさび三田ホテル４階","108-0073","東京都港区三田三丁目14番13号","クロス三田4階","2024/7/26","6港み生環き第51号","簡易宿所営業","12","32"

"旅館業施設新規一覧(令和6年7月31日現在)","Ver202407",,,,,,,,
