都市計画の名称,変更後 (a) ／重点地区数,変更後 (a) ／面積,既決定 (b) ／重点地区数,既決定 (b) ／面積,削除地区 (c) ／重点地区数,削除地区 (c) ／面積,新規地区 (d)／重点地区数,新規地区 (d)／面積,面積変更地区 (e)／重点地区数,面積変更地区 (e)／面積
東京,377,12973,374,11436,63,895,66,1680,58,752
八王子,19,2230,17,2093,1,2,3,139,0,0
立川,6,168,8,234,3,75,1,8,1,1
武蔵野,0,0,1,12,1,12,0,0,0,0
三鷹,5,88,5,97,1,11,1,2,0,0
府中,3,19,1,4,0,0,2,15,0,0
調布,7,100,5,61,0,0,2,48,1,-9
青梅,2,193,1,267,0,0,1,1,1,-75
昭島,2,33,3,57,1,10,0,0,1,-14
町田,29,569,27,553,1,6,3,22,0,0
小金井,4,28,3,23,0,0,1,4,1,1
日野,10,475,16,636,6,50,0,0,2,-111
小平,5,43,4,61,1,23,2,5,0,0
国分寺,1,75,2,107,1,32,0,0,0,0
東村山,4,44,7,79,3,35,0,0,0,0
国立,0,0,0,0,0,0,0,0,0,0
西東京,5,32,5,31,0,0,0,0,1,1
福生,4,193,5,199,1,5,0,0,1,-1
多摩,6,1875,5,1842,0,0,1,33,0,0
秋多,1,12,3,63,2,51,0,0,0,0
多摩部総計,113,6177,118,6419,22,312,17,277,9,-207
総計,490,19150,492,17855,85,1207,83,1957,67,545
