区名,番号,地区名,面積(ha)
千代田区,千.1,秋葉原地区,22
千代田区,千.5,飯田橋二・三丁目地区,18
千代田区,※／千.8,飯田橋駅西口地区,3
中央区,△／中.2,晴海・勝どき地区,111
中央区,△／中.6,勝どき五・六丁目・豊海地区,19
中央区,△／中.14,湊二丁目東地区,2
中央区,中.15,月島一丁目３・４・５番地区,1
中央区,中.16,月島一丁目西仲通り地区,1
中央区,△／中.17,月島三丁目地区,5
港区,港.1,汐留地区,31
港区,港.5,六本木・虎ノ門地区,12
港区,港.11,青山北町三丁目地区,4
港区,港.12,六本木一丁目西地区,7
港区,港.15,愛宕地区,7
港区,港.17,環状第２号線新橋・虎ノ門地区,9
港区,港.19,六本木六丁目第二地区,1
港区,△／港.20,三田小山町地区,5
港区,港.23,南麻布地区,1
港区,※／港.25,赤坂九丁目地区,11
港区,※／港.26,浜松町一丁目地区,1
港区,※／港.27,白金一丁目東部北地区,2
港区,※／港.28,赤坂一丁目地区,3
港区,※／港.29,六本木三丁目東地区,3
新宿区,新.1,百人町三・四丁目地区,38
新宿区,新.2,西新宿六丁目地区,11
新宿区,新.3,西新宿地区,28
新宿区,新.4,北新宿地区,69
新宿区,新.5,大久保・百人町地区,47
新宿区,新.6,若葉・須賀町地区,16
新宿区,新.7,若松町・河田町地区,28
新宿区,新.8,上落合地区,47
新宿区,新.9,赤城周辺地区,17
新宿区,新.10,西富久地区,5
新宿区,新.12,新宿六丁目地区,7
文京区,文.1,教育の森公園周辺地区,32
文京区,文.2,千川通り南部周辺地区,24
文京区,文.3,後楽二丁目地区,17
文京区,文.4,音羽一・二丁目地区,3
文京区,文.5,不忍通り地区,18
文京区,△／文.6,大塚五・六丁目地区,26
文京区,文.7,千駄木・向丘地区,78
文京区,文.9,不忍通り第二地区,21
台東区,△／台.6,谷中二・三・五丁目地区,29
台東区,台.7,根岸三・四・五丁目地区,34
台東区,台.8,浅草北部地区,208
墨田区,墨.1,押上・業平橋駅周辺地区,36
墨田区,墨.2,錦糸町駅周辺地区,93
墨田区,墨.6,両国地区,69
墨田区,墨.7,鐘ヶ淵周辺地区,119
墨田区,△／墨.8,東向島・京島・八広地区,266
墨田区,※／墨.9,文花一丁目地区,7
江東区,江.1,臨海副都心地区,200
江東区,江.2,豊洲地区（豊洲中央部）,52
江東区,江.3,東雲地区,25
江東区,江.5,新砂三丁目地区,33
江東区,△／江.12,辰巳一丁目地区,14
江東区,江.18,豊洲地区（豊洲ふ頭部）,90
江東区,※／江.19,東砂七丁目地区,3
江東区,※／江.20,千石二丁目地区,1
江東区,※／江.21,牡丹二丁目地区,1
江東区,※／江.22,亀戸六丁目地区,3
江東区,※／江.23,大島三丁目地区,2
江東区,※／江.24,北砂三・四・五丁目地区,49
品川区,品.1,東品川二丁目地区,20
品川区,品.2,荏原市場跡地及び周辺地区,7
品川区,△／品.3,荏原地区,668
品川区,△／品.7,大崎駅周辺地区,51
品川区,品.9,大井町駅前地区,14
品川区,品.11,東品川四丁目地区,14
品川区,品.17,目黒駅前地区,3
品川区,※／品.20,品川駅南地区,89
目黒区,△／目.2,林試の森周辺（目黒区）地区,196
目黒区,目.8,大橋一丁目地区,4
目黒区,※／目.9,大橋二丁目地区,1
大田区,△／大.7,大森東・大森南地区,138
大田区,△／大.13,環状７号線大田地区,39
大田区,大.14,蒲田二・三丁目地区,26
大田区,△／大.15,環状８号線大田地区,53
大田区,大.20,蒲田四丁目地区,4
大田区,※／大.21,蒲田・西蒲田地区,61
大田区,※／大.22,大森北一・山王二丁目地区,19
大田区,※／大.23,南馬込三丁目地区,1
大田区,※／大.24,大森西四丁目地区,1
大田区,※／大.25,大森中・糀谷・蒲田地区,197
大田区,※／大.26,羽田地区,74
大田区,※／大.27,補助２９号線沿道地区,1
世田谷区,世.1,八幡山三丁目地区,2
世田谷区,世.4,祖師谷大蔵駅周辺地区,28
世田谷区,世.5,千歳烏山駅周辺地区,5
世田谷区,世.6,北沢三・四丁目地区,34
世田谷区,世.7,世田谷・若林・区役所北部地区,128
世田谷区,世.8,太子堂二・三丁目地区,36
世田谷区,△／世.9,三宿一・二丁目地区,43
世田谷区,世.10,上馬・野沢地区,38
世田谷区,△／世.12,祖師谷二丁目地区,8
世田谷区,世.13,南烏山六丁目地区,3
世田谷区,世.14,上用賀四丁目地区,1
世田谷区,世.15,北烏山二丁目地区,2
世田谷区,世.19,上祖師谷四丁目地区,24
世田谷区,世.20,鎌田前耕地地区,15
世田谷区,世.21,宇奈根東部地区,5
世田谷区,世.22,宇奈根西部地区,11
世田谷区,世.23,喜多見南部地区,7
世田谷区,世.24,大道北地区,6
世田谷区,世.25,打越地区,3
世田谷区,世.26,田直地区,2
世田谷区,世.27,北沢五丁目・大原一丁目地区,44
世田谷区,世.29,明大前駅北側地区,3
世田谷区,世.30,喜多見駅周辺地区,9
世田谷区,世.31,千歳船橋駅周辺地区,14
世田谷区,世.32,豪徳寺駅周辺地区,30
世田谷区,世.33,玉川三丁目地区,8
世田谷区,世.34,喜多見東地区,5
世田谷区,世.35,喜多見宮之原地区,2
世田谷区,世.36,砧五丁目地区,2
世田谷区,世.37,太子堂四丁目地区,15
世田谷区,世.38,池尻二丁目地区,2
世田谷区,世.39,下馬二丁目地区,7
世田谷区,世.41,桜上水四丁目地区,5
世田谷区,世.44,八幡山アパート地区,7
世田谷区,△／世.45,千歳台二丁目地区,2
世田谷区,世.47,尾山台駅周辺地区,11
世田谷区,世.51,経堂駅周辺地区,25
世田谷区,世.53,北烏山三丁目地区,2
世田谷区,世.54,北烏山二・三丁目地区,5
世田谷区,世.55,大蔵三丁目地区,9
世田谷区,世.56,桜上水五丁目地区,2
世田谷区,世.57,希望丘地区,85
世田谷区,世.58,北烏山西部地区,111
世田谷区,世.59,粕谷二丁目地区,22
世田谷区,※／世.60,宮坂三丁目地区,1
世田谷区,※／世.61,弦巻五丁目地区,1
世田谷区,※／世.62,経堂四丁目地区,1
世田谷区,※／世.63,池尻三丁目地区,7
渋谷区,渋.5,本町地区,94
渋谷区,※／渋.6,笹塚一丁目地区,1
中野区,中野.1,中野坂上地区,8
中野区,中野.2,方南通り地区,15
中野区,△／中野.3,中野四丁目地区,24
中野区,中野.4,野方駅周辺地区,9
中野区,中野.5,南台・弥生町地区,94
中野区,中野.6,平和の森公園周辺地区,74
中野区,中野.7,中野二丁目地区,5
中野区,△／中野.8,弥生町六丁目地区,2
中野区,中野.10,白鷺一丁目地区,3
中野区,中野.11,野方五丁目地区,1
中野区,△／中野.12,環状７号線沿道中野地区,8
中野区,△／中野.13,上高田四丁目地区,4
中野区,△／中野.14,白鷺二・三丁目地区,4
中野区,中野.16,南台五丁目地区,1
中野区,中野.17,江原町一丁目地区,3
中野区,※／中野.18,江古田三丁目地区,5
中野区,※／中野.19,沼袋駅周辺地区,10
中野区,※／中野.20,大和町地区,64
中野区,※／中野.21,新井薬師前駅周辺地区,2
杉並区,△／杉.1,方南通り地区,13
杉並区,△／杉.2,環状７号線沿道地区,56
杉並区,杉.3,気象研究所跡地周辺地区,18
杉並区,杉.4,蚕糸試験場跡地周辺地区,26
杉並区,△／杉.5,松ノ木一丁目地区,1
杉並区,△／杉.6,荻窪三丁目地区,6
杉並区,杉.9,天沼三丁目地区,26
杉並区,杉.10,環状８号線沿道（杉並区）地区,39
杉並区,杉.11,久我山一丁目地区,3
杉並区,杉.13,和泉四丁目地区,1
杉並区,△／杉.15,阿佐ヶ谷団地地区,5
杉並区,※／杉.16,阿佐ヶ谷南・高円寺南地区,93
杉並区,※／杉.17,和田一丁目地区,1
杉並区,※／杉.18,宮前三丁目地区,1
杉並区,※／杉.19,本天沼二丁目地区,1
豊島区,豊.4,染井霊園周辺地区,53
豊島区,豊.5,東池袋四・五丁目地区,19
豊島区,△／豊.11,池袋本町・上池袋地区,131
豊島区,豊.12,南池袋二丁目地区,6
豊島区,豊.13,目白二丁目地区,1
豊島区,※／豊.14,長崎・南長崎地区,153
