地域階層コード,地域コード,地域名,世帯主の性別コード,世帯主の性別,2020年,2025年,2030年,2035年,2040年,2045年
0,13000,東京都,0,男女計,202244,209454,218469,229466,244688,257164
1,13100,区部,0,男女計,137159,140342,144815,152143,163423,173809
3,13101,千代田区,0,男女計,618,722,787,866,1001,1149
3,13102,中央区,0,男女計,1399,1753,2067,2503,3085,3691
3,13103,港区,0,男女計,2466,3157,3427,3822,4315,4824
3,13104,新宿区,0,男女計,4022,4503,4660,4888,5248,5599
3,13105,文京区,0,男女計,2841,3149,3339,3611,3987,4390
3,13106,台東区,0,男女計,2823,3292,3382,3551,3825,4114
3,13107,墨田区,0,男女計,4058,4086,4097,4191,4448,4745
3,13108,江東区,0,男女計,7792,8369,8625,9106,9934,10647
3,13109,品川区,0,男女計,5708,5959,6195,6602,7243,7909
3,13110,目黒区,0,男女計,3765,3777,3975,4243,4605,5001
3,13111,大田区,0,男女計,10791,10528,10892,11375,12097,12659
3,13112,世田谷区,0,男女計,12131,12231,12453,13113,14207,15484
3,13113,渋谷区,0,男女計,2704,2766,2795,2961,3275,3687
3,13114,中野区,0,男女計,4424,4377,4440,4614,4903,5235
3,13115,杉並区,0,男女計,7178,7401,7493,7870,8535,9298
3,13116,豊島区,0,男女計,3871,4013,4143,4326,4559,4829
3,13117,北区,0,男女計,6658,6311,6194,6141,6305,6522
3,13118,荒川区,0,男女計,3339,3520,3563,3574,3716,3875
3,13119,板橋区,0,男女計,8684,8642,8818,9029,9411,9705
3,13120,練馬区,0,男女計,10489,10750,11404,12223,13165,13812
3,13121,足立区,0,男女計,12595,12480,12778,13213,13889,14221
3,13122,葛飾区,0,男女計,7994,8056,8263,8497,8869,9039
3,13123,江戸川区,0,男女計,10809,10500,11025,11824,12801,13374
1,13500,多摩・島しょ,0,男女計,65085,69112,73654,77323,81265,83355
2,13200,市部,0,男女計,63769,67767,72363,76102,80095,82266
3,13201,八王子市,0,男女計,8845,9598,10060,10398,10755,10820
3,13202,立川市,0,男女計,2674,2597,2615,2649,2779,2915
3,13203,武蔵野市,0,男女計,1933,2113,2352,2526,2706,2870
3,13204,三鷹市,0,男女計,2444,2835,3421,3727,4017,4238
3,13205,青梅市,0,男女計,2058,2144,2164,2204,2179,2117
3,13206,府中市,0,男女計,3690,4120,4491,4854,5216,5444
3,13207,昭島市,0,男女計,1893,1997,2113,2197,2276,2304
3,13208,調布市,0,男女計,3210,3595,4130,4524,4962,5288
3,13209,町田市,0,男女計,6274,6652,6933,7188,7515,7617
3,13210,小金井市,0,男女計,1630,1856,2021,2161,2284,2386
3,13211,小平市,0,男女計,2894,3361,3666,3939,4195,4365
3,13212,日野市,0,男女計,2878,2895,3053,3200,3371,3488
3,13213,東村山市,0,男女計,2762,2750,2910,3027,3182,3229
3,13214,国分寺市,0,男女計,1683,1881,2064,2238,2422,2554
3,13215,国立市,0,男女計,1217,1339,1503,1641,1750,1797
3,13218,福生市,0,男女計,982,916,861,827,820,809
3,13219,狛江市,0,男女計,1290,1336,1412,1525,1641,1745
3,13220,東大和市,0,男女計,1404,1379,1440,1487,1531,1537
3,13221,清瀬市,0,男女計,1336,1310,1355,1396,1451,1466
3,13222,東久留米市,0,男女計,2185,2183,2245,2280,2317,2299
3,13223,武蔵村山市,0,男女計,1274,1340,1365,1401,1463,1481
3,13224,多摩市,0,男女計,2641,2559,2678,2754,2830,2815
3,13225,稲城市,0,男女計,1128,1324,1471,1609,1769,1871
3,13227,羽村市,0,男女計,824,783,822,852,880,873
3,13228,あきる野市,0,男女計,1265,1274,1314,1317,1327,1307
3,13229,西東京市,0,男女計,3355,3630,3904,4181,4457,4631
2,13300,郡部,0,男女計,917,963,941,899,873,820
3,13303,瑞穂町,0,男女計,487,482,497,503,504,483
3,13305,日の出町,0,男女計,283,326,302,273,262,252
3,13307,檜原村,0,男女計,47,43,41,36,33,31
3,13308,奥多摩町,0,男女計,100,112,101,87,74,54
2,13350,島部,0,男女計,399,382,350,322,297,269
0,13000,東京都,1,男,43856,46045,49233,52736,55950,58245
1,13100,区部,1,男,28973,30350,32179,34539,36915,38974
3,13101,千代田区,1,男,126,149,173,196,221,247
3,13102,中央区,1,男,262,363,448,565,694,811
3,13103,港区,1,男,448,596,672,780,880,977
3,13104,新宿区,1,男,761,840,903,981,1059,1123
3,13105,文京区,1,男,490,618,670,725,784,853
3,13106,台東区,1,男,622,757,788,844,896,956
3,13107,墨田区,1,男,940,1041,1055,1077,1129,1199
3,13108,江東区,1,男,1741,1840,1930,2081,2248,2371
3,13109,品川区,1,男,1137,1230,1312,1435,1578,1716
3,13110,目黒区,1,男,725,720,781,847,899,972
3,13111,大田区,1,男,2479,2310,2479,2657,2789,2870
3,13112,世田谷区,1,男,2324,2296,2402,2578,2769,3001
3,13113,渋谷区,1,男,543,511,525,560,613,700
3,13114,中野区,1,男,899,846,875,940,1002,1075
3,13115,杉並区,1,男,1409,1401,1438,1552,1716,1902
3,13116,豊島区,1,男,749,808,863,933,992,1061
3,13117,北区,1,男,1240,1248,1236,1253,1306,1368
3,13118,荒川区,1,男,759,859,923,928,949,981
