階層コード,地域コード,地域,人口総数／平成17年1月１日,人口総数／平成16年12月１日,人口総数／平成16年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12514855,12512731,12429887,2124,0.02,84968,0.68
1,13100,区部,8477031,8476813,8425620,218,0,51411,0.61
1,13200,市部,3946912,3944979,3912575,1933,0.05,34337,0.88
1,13300,郡部,60855,60865,61220,-10,-0.02,-365,-0.6
1,13350,島部,30057,30074,30472,-17,-0.06,-415,-1.36
,,,,,,,,,
住民基本台帳による世帯と人口_平成17年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
